symbol	score	direction
TNMD	33.7911038025432	Up
DPM1	31.8703143182464	Up
CFH	28.6069604766897	Up
FUCA2	28.1947725876067	Up
CFTR	21.242555051561	Up
HECW1	17.3616698593536	Up
MAD1L1	17.3439066312538	Up
LASP1	17.3105968316584	Up
KLHL13	16.6632971245624	Up
TSPAN6	-44.9719058779003	Dn
SCYL3	-30.1013104946504	Dn
C1orf112	-29.6003868200596	Dn
FGR	-29.270388493497	Dn
GCLC	-27.1935161595474	Dn
NFYA	-24.4356201284956	Dn
STPG1	-23.7952316995429	Dn
NIPAL3	-23.1687224604847	Dn
LAS1L	-22.4999901316591	Dn
ENPP4	-22.4479142995437	Dn
SEMA3F	-21.3316856134114	Dn
ANKIB1	-20.7911230646138	Dn
KRIT1	-19.9778762639995	Dn
RAD52	-19.3737022623017	Dn
MYH16	-19.1290978428824	Dn
BAD	-19.0551197569587	Dn
LAP3	-18.7753348498201	Dn
CD99	-18.765492616657	Dn
HS3ST1	-17.8742597547329	Dn
AOC1	-17.84350682841	Dn
WNT16	-17.7620520351934	Dn
SNX11	-16.9700722114872	Dn
TMEM176A	-16.9346169913286	Dn
M6PR	-16.7719243979128	Dn
