signature_symbol signature_score signature_direction
ANKRD1 -16.7396065273371 Dn
CPA4 -13.3051645570279 Dn
CXCL14 -12.9803712028162 Dn
RNU1-62P -11.3110133767499 Dn
HNRNPA3P5 -9.16414281969204 Dn
LINC00052 -8.01991227166739 Dn
ZNF664 -7.11092864065094 Dn
CYP1A1 59.9915203889318 Up
CYP1B1 37.6461650342509 Up
PDGFA 22.2394496552091 Up
IL1A 21.2746485820369 Up
SERPINB3 20.1681138429631 Up
ALDH3A1 19.6165402514507 Up
PTGS2 17.9610082899231 Up
HLA-DRA 15.7953687533873 Up
SERPINB13 15.6392052712583 Up
PTGES 14.9489946122027 Up
USP30-AS1 14.3724749005391 Up
PLA2G4A 13.7124818288771 Up
IL1B 13.6548224396382 Up
CXCL10 12.9249641031698 Up
ALDH1A3 11.9076129265388 Up
OR1D4 10.2644169604237 Up
VIPR1 10.2040579932599 Up
OTUB2 9.68916716676316 Up
IL6 9.16059786846412 Up
HBEGF 8.66996436935802 Up
RNA5SP182 8.1085585345645 Up
ARGFX 6.93603161460208 Up
