signature_symbol signature_score signature_direction
DHRS3 -25.1282482398105 Dn
FAM90A25P -13.7277357443497 Dn
CDH5 -11.8145931739588 Dn
LINC00857 -10.7885643594367 Dn
MSX2P1 -10.5405036038384 Dn
ALPK3 -10.0615299503622 Dn
ALDH3A1 22.6894323995286 Up
GCLC 21.6709403146695 Up
SLC7A11 13.6446716622819 Up
KRT16P2 11.8672191089215 Up
CYP4F11 11.732514576961 Up
AHNAK2 11.4985626152631 Up
NQO1 11.0390542988583 Up
CX3CL1 10.5584432049204 Up
AKR1C1 10.3273680279243 Up
ABCC6P2 10.2803137993569 Up
ATP6V1B1 10.1767265005269 Up
LINC01564 10.1674354576339 Up
HMOX1 9.87967507435504 Up
