signature_symbol signature_score signature_direction
KRT4 -22.0524569041528 Dn
SPRR1B -21.269498413235 Dn
ANKRD1 -18.8357998108349 Dn
EGR1 -17.9271251780274 Dn
CEACAM6 -17.3920878480063 Dn
CYP1A1 -16.7540340891082 Dn
RNU2-63P -15.6362428758901 Dn
CTGF -15.4505341786597 Dn
CYR61 -15.4451577799777 Dn
PNLIPRP3 -14.65431221005 Dn
LINC01213 -14.6157888647744 Dn
SFTA1P -14.5232164766207 Dn
CST6 -14.329151581233 Dn
FOSL1 -13.0896378378666 Dn
SERPINB7 -12.3709989736751 Dn
GALNT5 -12.2300306198577 Dn
KRTAP2-3 -11.7948903339143 Dn
MIR3675 -10.2567049692969 Dn
FAM222A-AS1 -9.95553199758826 Dn
TRI-TAT2-3 -9.50859975777022 Dn
RNVU1-3 -9.04868279647111 Dn
LINC00707 -8.90578461865597 Dn
MYEOV -8.9028835862903 Dn
RNU6-1270P -8.47018814145947 Dn
DEFB4B -8.3624328960384 Dn
RNVU1-6 -7.11370448234975 Dn
LINC00472 -6.90578864044337 Dn
C19orf33 -5.956746372056 Dn
TPI1P3 -5.52864621239666 Dn
RNU6ATAC36P -5.35210530867658 Dn
SPRR3 -5.05441626365786 Dn
RNU5B-1 -4.90673487318744 Dn
OLFM4 44.3844732038171 Up
IFI44L 40.7968527676946 Up
HLA-DRA 33.3599726233126 Up
MMP1 28.6092097301215 Up
MMP12 27.2671489552018 Up
MMP7 27.1311051599197 Up
IDO1 26.9728846371981 Up
MMP13 24.8596930564018 Up
LAMP3 24.0377356230942 Up
IFI6 23.6550584958263 Up
MMP10 23.0921340138895 Up
S100A7 22.9482166002377 Up
XAF1 22.8950862089467 Up
OAS1 22.5298973278926 Up
PIP 22.5087162454713 Up
CCL20 22.4899183826597 Up
SGPP2 22.4474254759015 Up
OAS2 21.9227292903767 Up
LCN2 21.0070356787546 Up
C3 20.9901290644224 Up
IFI27 20.4236825713455 Up
SLPI 20.3326336615423 Up
GBP2 19.8906425523386 Up
CYP24A1 19.2843836615909 Up
OAS3 19.1484159190403 Up
CCL2 18.4414255534529 Up
TRANK1 17.8367933774349 Up
S100A9 17.759048330564 Up
PIGR 17.7515945379579 Up
HERC6 17.1888165990454 Up
SERPINB3 17.1690065852321 Up
ACTBL2 17.137909916062 Up
PDZK1IP1 17.1228337316563 Up
MUC1 16.1845271355894 Up
PI3 15.9564071926114 Up
CTSS 15.9375985188901 Up
DDX60 15.9319135790943 Up
IFI44 15.9012913053381 Up
IRAK3 14.4570858765274 Up
RSAD2 14.2849018988023 Up
PGLYRP4 14.0439227432351 Up
CMPK2 14.0115098316907 Up
CXCL8 13.4559154734049 Up
LAPTM5 13.285857661615 Up
CXCL10 12.7390763795188 Up
GBP4 12.7385261772138 Up
MX1 12.6078953673711 Up
CYP4X1 12.2615286457117 Up
RNA5SP182 11.9595894729037 Up
TNIP3 11.8974122331886 Up
CD74 11.7389685964462 Up
SLC28A3 11.6417012496726 Up
SAA1 11.3297840829074 Up
RDH10 11.3246692357404 Up
LTF 11.0294696980942 Up
TMEM140 10.4231176675914 Up
BBOX1 10.377551645535 Up
HLA-DPB1 10.0584947860734 Up
ALDH1L2 9.31646141339959 Up
KCNJ2 9.02046391700484 Up
HLA-DPA1 9.01447224976722 Up
RNF152 8.54227982901178 Up
ARGFX 7.22123207906052 Up
HLA-DRB1 6.23034242748755 Up
OR1D4 5.78532463949196 Up
MTRNR2L12 5.55797933870904 Up
PTPRZ1 4.97652228262358 Up
LINC01522 4.82816586485873 Up
