signature_symbol signature_direction
KRT4 Dn
SPRR1B Dn
ANKRD1 Dn
EGR1 Dn
CEACAM6 Dn
CYP1A1 Dn
RNU2-63P Dn
CTGF Dn
CYR61 Dn
PNLIPRP3 Dn
LINC01213 Dn
SFTA1P Dn
CST6 Dn
SEMA7A Dn
FOSL1 Dn
JUN Dn
SERPINB7 Dn
EREG Dn
GALNT5 Dn
SNHG15 Dn
ABCG2 Dn
KRTAP2-3 Dn
STAC Dn
TPRG1-AS1 Dn
AREG Dn
SNHG17 Dn
MAB21L1 Dn
UPP1 Dn
LINC00857 Dn
OLFM4 Up
IFI44L Up
HLA-DRA Up
MMP1 Up
MMP12 Up
MMP7 Up
IDO1 Up
MMP13 Up
LAMP3 Up
IFI6 Up
MMP10 Up
S100A7 Up
XAF1 Up
OAS1 Up
PIP Up
CCL20 Up
SGPP2 Up
OAS2 Up
LCN2 Up
C3 Up
IFI27 Up
SLPI Up
GBP2 Up
CYP24A1 Up
OAS3 Up
CCL2 Up
TRANK1 Up
S100A9 Up
PIGR Up
HERC6 Up
SERPINB3 Up
ACTBL2 Up
PDZK1IP1 Up
MUC1 Up
PI3 Up
CTSS Up
DDX60 Up
IFI44 Up
BST2 Up
KYNU Up
IRAK3 Up
RSAD2 Up
PARP14 Up
PGLYRP4 Up
CMPK2 Up
IFIT1 Up
TYMP Up
CXCL8 Up
HERC5 Up
LAPTM5 Up
PLAT Up
TC2N Up
CXCL10 Up
GBP4 Up
SAMHD1 Up
MX1 Up
CATIP-AS2 Up
CYP4X1 Up
PDCD4 Up
C15orf48 Up
S100A8 Up
IFIH1 Up
RNA5SP182 Up
TNFAIP3 Up
TNIP3 Up
CX3CL1 Up
CD74 Up
SLC28A3 Up
PLXDC2 Up
SAA1 Up
RDH10 Up
ABI3BP Up
LTF Up
AHNAK2 Up
