symbol	score	direction
CYP1B1	22.587777125446	Up
CXCL10	19.1499104289481	Up
IDO1	19.1067098167667	Up
GBP4	18.8371781765375	Up
HLA-DRA	18.2833445064619	Up
OASL	18.1589818751449	Up
GBP2	17.8027514413978	Up
SERPINB3	17.3648303076084	Up
OLFM4	16.9065652127978	Up
SGPP2	15.76349748009	Up
OAS1	15.20028754394	Up
MUC1	14.9819211076912	Up
USP30-AS1	14.4547057589915	Up
IFIT2	14.4391913278591	Up
CYP1A1	14.0038338428314	Up
IL1A	13.9486566792461	Up
XAF1	13.738881162722	Up
RNA5SP182	13.5689065594756	Up
ATP6V1B1	13.3127916889696	Up
OAS2	13.1529806440519	Up
HERC5	13.0698118903422	Up
TSPY15P	13.0534290847058	Up
CTSS	12.9799516148929	Up
GDF15	12.9295949822081	Up
CXCL17	12.8323263703179	Up
LAPTM5	12.7023810518087	Up
RSAD2	12.6863891434097	Up
DDX60	12.6532229684963	Up
CX3CL1	12.6439549099657	Up
ANKRD1	-21.867504155003	Dn
TRI-TAT2-3	-16.976662167254	Dn
GRPR	-14.2085876741824	Dn
ODC1	-13.4741650714452	Dn
