signature_symbol signature_direction
ANKRD1 Dn
TRI-TAT2-3 Dn
GRPR Dn
HIST1H3J Dn
SFTA1P Dn
CXCL14 Dn
KRTAP2-3 Dn
CEP57L1 Dn
FAR2P2 Dn
MED27 Dn
DEFB4B Dn
GTF2H2 Dn
PABPC1 Dn
RNU6ATAC36P Dn
OCIAD1-AS1 Dn
LINC00472 Dn
RNU6-1282P Dn
RNU2-63P Dn
DIO2 Dn
HIST1H2BG Dn
RNU6-1043P Dn
CYP1B1 Up
CXCL10 Up
IDO1 Up
GBP4 Up
HLA-DRA Up
OASL Up
GBP2 Up
SERPINB3 Up
OLFM4 Up
USP30-AS1 Up
CYP1A1 Up
IL1A Up
RNA5SP182 Up
ATP6V1B1 Up
TSPY15P Up
LAPTM5 Up
RSAD2 Up
C1S Up
PADI3 Up
CCL20 Up
RNU6-787P Up
CTSO Up
ALDH3A1 Up
IFI44L Up
RN7SKP65 Up
INMT Up
ALDH1L2 Up
TMPRSS4 Up
OR1D4 Up
CCL5 Up
HAUS7 Up
