signature_symbol signature_score signature_direction
HLA-DRA -44.9719058779003 Dn
CYP1B1 -30.1013104946504 Dn
CEMIP -29.6003868200596 Dn
MMP1 -29.270388493497 Dn
CPM -27.1935161595474 Dn
CST2 -24.4356201284956 Dn
ANXA10 -23.7952316995429 Dn
OTUB2 -23.1687224604847 Dn
ADGRF1 -22.4999901316591 Dn
MUC1 -22.4479142995437 Dn
APCDD1L -21.3316856134114 Dn
EHF -20.7911230646138 Dn
CD74 -19.9778762639995 Dn
CYP24A1 -19.3737022623017 Dn
PLAT -19.1290978428824 Dn
HLA-DPA1 -19.0551197569587 Dn
CST4 -18.7753348498201 Dn
VEGFA -18.765492616657 Dn
SERPINB2 -17.8742597547329 Dn
ITGA1 -17.84350682841 Dn
APCDD1L-AS1 -17.7620520351934 Dn
SLC14A1 -16.9346169913286 Dn
GALNT12 -15.4569389453517 Dn
HAS2 -15.3831018012243 Dn
SECTM1 -15.3183964096259 Dn
RARRES3 -15.1616493992798 Dn
ZNF175 -14.9348584028456 Dn
PTGS2 -14.8954559677339 Dn
ADGRF5 -14.3300354586258 Dn
GBP4 -13.8053582138435 Dn
TNFSF10 -13.6932289938338 Dn
CLMN -13.5610471148685 Dn
FAM105A -13.5250772059099 Dn
SLC37A2 -13.1798382932955 Dn
DMBT1 -12.8767443066416 Dn
ABCA1 -12.778230089861 Dn
ACTBL2 -12.4948530523156 Dn
TFF1 -12.4628676494186 Dn
CFP -12.2655669411099 Dn
GPRC5C -12.1172905087665 Dn
FPR1 -11.8742210384367 Dn
RNF128 -11.3752995692744 Dn
COL4A5 -10.4590725237895 Dn
ADAMTS15 -10.0075858723026 Dn
IL1A -9.60574046952642 Dn
TMEM163 -9.5382831057243 Dn
AIM2 -9.15344080478423 Dn
CMKLR1 -9.10669180887993 Dn
GPR68 -9.0142076404103 Dn
TMEM45B -8.81654799578643 Dn
HLA-DRB1 -8.53013112624228 Dn
SHISA2 -7.6262077200118 Dn
TFF2 -6.89159318935926 Dn
PAPPA -6.70947040498864 Dn
GBP6 -6.53610540893212 Dn
FLG -6.39665085978145 Dn
LINC00996 -5.85641877867523 Dn
PCDHB14 -5.50783551863304 Dn
IL13RA2 33.7911038025432 Up
UCA1 31.8703143182464 Up
PLCB4 28.6069604766897 Up
CDR1-AS 28.1947725876067 Up
IL7R 21.242555051561 Up
KRT4 17.3439066312538 Up
FST 17.3105968316584 Up
SFTA1P 16.6632971245624 Up
IGFL1 15.5902715921028 Up
FAM49A 15.5349956224256 Up
SPNS2 15.1493840795329 Up
SYNPR-AS1 14.8760064466958 Up
XAGE2 14.6572561031151 Up
SPANXB1 14.039223684017 Up
DMKN 13.7132060974958 Up
HIST1H4D 12.8244390965738 Up
L1CAM 12.1934197938796 Up
LINC00707 12.1815998290064 Up
RAB3B 12.1750081250279 Up
KCNQ3 11.2721148956877 Up
DCDC2 11.221583703233 Up
MAGEA6 11.0132725206195 Up
CYCSP6 10.9503528807389 Up
SLITRK1 10.5158821417931 Up
GJB3 9.80755357886612 Up
CDR1 9.75230167345601 Up
CXCR4 9.51312506291365 Up
DCLK1 9.51087536930936 Up
LINC01111 7.80450410061906 Up
MAGEC2 7.19597099165405 Up
CCAT1 6.92265027926506 Up
MOB3B 6.12862311851621 Up
AMPH 5.41895095974693 Up
