symbol	direction
IL13RA2	Up
UCA1	Up
PLCB4	Up
CDR1-AS	Up
IL7R	Up
CCBE1	Up
KRT4	Up
FST	Up
SFTA1P	Up
IGFL1	Up
FAM49A	Up
LCP1	Up
SPNS2	Up
SYNPR-AS1	Up
GPC6	Up
XAGE2	Up
HKDC1	Up
SPANXB1	Up
DMKN	Up
CTSC	Up
CCNA1	Up
EDN1	Up
HIST1H4D	Up
DUSP10	Up
SERTAD4	Up
ZNF114	Up
L1CAM	Up
LINC00707	Up
RAB3B	Up
IL6R	Up
DYSF	Up
SCARA3	Up
INHBB	Up
SEL1L3	Up
KCNQ3	Up
DCDC2	Up
SDPR	Up
PIK3AP1	Up
MAGEA6	Up
CYCSP6	Up
HS3ST3B1	Up
C7orf33	Up
PEG10	Up
SLITRK1	Up
ARHGEF26	Up
FAXC	Up
ZNF582	Up
SERPINB5	Up
GJB3	Up
SEMA3F	Up
HLA-DRA	Dn
CYP1B1	Dn
CEMIP	Dn
MMP1	Dn
CPM	Dn
CST2	Dn
ANXA10	Dn
OTUB2	Dn
ADGRF1	Dn
MUC1	Dn
APCDD1L	Dn
EHF	Dn
CD74	Dn
CYP24A1	Dn
PLAT	Dn
HLA-DPA1	Dn
CST4	Dn
VEGFA	Dn
SERPINB2	Dn
ITGA1	Dn
APCDD1L-AS1	Dn
LRP5	Dn
SLC14A1	Dn
FUCA1	Dn
GALNT12	Dn
HAS2	Dn
SECTM1	Dn
RARRES3	Dn
ZNF175	Dn
PTGS2	Dn
PORCN	Dn
NTN4	Dn
ADGRF5	Dn
C15orf48	Dn
GBP4	Dn
TNFSF10	Dn
CLMN	Dn
FAM105A	Dn
LTBP1	Dn
SLC37A2	Dn
BST2	Dn
MIR181A1HG	Dn
SPRY2	Dn
DMBT1	Dn
TCP11L2	Dn
PXK	Dn
ABCA1	Dn
MMP16	Dn
ACTBL2	Dn
SCNN1A	Dn
TFF1	Dn
ARL4C	Dn
CFP	Dn
FZD1	Dn
GPRC5C	Dn
OAS2	Dn
CTSS	Dn
FPR1	Dn
PTPRJ	Dn
ATP10D	Dn
ENTPD3	Dn
RNF128	Dn
TRAC	Dn
TBC1D8B	Dn
MORC4	Dn
PLXNA1	Dn
GNG11	Dn
LGR5	Dn
LOXL4	Dn
SLC9A3R2	Dn
LAPTM5	Dn
TMEM156	Dn
TXNIP	Dn
AHR	Dn
GALNT6	Dn
F2RL1	Dn
FBXO32	Dn
COL4A5	Dn
FHOD3	Dn
HLA-C	Dn
KYNU	Dn
ALDH3A1	Dn
LAMC2	Dn
CDK15	Dn
TMEM171	Dn
TGFBR2	Dn
PCDHB10	Dn
SOD3	Dn
FAM225A	Dn
MANSC1	Dn
ADAMTS15	Dn
HIPK2	Dn
SLCO4A1	Dn
PSMB9	Dn
GBP2	Dn
IRF1	Dn
TCEAL8	Dn
