signature_symbol signature_score signature_direction
APBB1IP -20.3997019160173 Dn
MUC1 -19.101150770359 Dn
TFF1 -15.9916490649308 Dn
CST2 -15.1646891764611 Dn
TFF2 -14.4909672236666 Dn
VGLL1 -12.0981870128047 Dn
NAP1L3 -11.1497178509963 Dn
HIP1 -10.8682008229751 Dn
FAM133A -10.6203415179888 Dn
RNU1-120P -8.03721922715618 Dn
GBP4 -7.82337955473465 Dn
GCNT6 -7.3167443517737 Dn
PCDHB14 -6.15499043100029 Dn
ATP6V0D2 -5.04452819955638 Dn
ADGRF1 15.1895496481298 Up
HIST1H2AC 11.7251438400205 Up
PLCB4 11.4630819151173 Up
HIST1H2BA 11.1927412805018 Up
IL24 7.49294268080935 Up
ZDHHC15 7.06961896757914 Up
LINC01111 6.54946470068337 Up
COX6B2 6.32106309590771 Up
RNU6-1227P 6.19301463804523 Up
RNU6-980P 6.16113648890085 Up
