signature_symbol signature_direction
HAS2 Dn
EDARADD Dn
EHF Dn
TMEM171 Dn
ABCG2 Dn
KPNA7 Dn
ALDH1A3 Dn
ADAM19 Dn
GPAT3 Dn
LPAR1 Dn
CYP1B1 Dn
SORT1 Dn
BEX1 Dn
PLA2G7 Dn
SEMA7A Dn
FAM19A3 Dn
MYL9 Dn
PLA2G16 Dn
IL24 Dn
ABTB2 Dn
TTC9 Dn
FBP1 Dn
KMO Dn
PLAU Dn
PLK2 Dn
LIF Dn
EXT1 Dn
TNFAIP3 Dn
CPA4 Dn
VGLL3 Dn
MAP1B Dn
FOSL1 Dn
IL1A Dn
SLC37A2 Dn
ATP6V0D2 Dn
LIMA1 Dn
LINC00665 Dn
EDN1 Dn
SLC44A3 Dn
CHRNB1 Dn
TMC5 Dn
INA Dn
TNFSF15 Dn
IL17RD Dn
ZNF114 Dn
KRT23 Dn
C6orf132 Dn
LAMA4 Dn
TINAGL1 Dn
SERINC2 Dn
SEMA3D Dn
ARNTL2 Dn
IL1B Dn
OCLN Dn
CST6 Dn
FOXA1 Dn
ARRDC4 Dn
STRA6 Dn
MECOM Dn
AHR Dn
TRAM2 Dn
CCDC80 Dn
A2ML1 Dn
EML5 Dn
IL33 Dn
ITGA2 Dn
NRP1 Dn
OVOL1 Dn
S1PR1 Dn
ESM1 Dn
DHRS3 Dn
PDGFB Dn
RARRES1 Dn
SLC5A6 Dn
MYPN Dn
MAPK13 Dn
ERP27 Dn
IL23A Dn
HMOX1 Dn
ACOXL Dn
DYSF Dn
PTHLH Dn
DOCK10 Dn
SULT2B1 Dn
GATA6 Dn
PARM1 Dn
MOB3B Dn
DAPP1 Dn
TRAF6 Dn
SMAGP Dn
DUSP14 Dn
FST Dn
PLAT Dn
HIF1A-AS2 Dn
HEPHL1 Dn
BHLHE41 Dn
SCEL Dn
MARCH4 Dn
TGFB1I1 Dn
ADM Dn
SENCR Dn
LINC00704 Dn
ROR1 Dn
LCP1 Dn
MFAP2 Dn
TMEM2 Dn
KRTAP2-3 Dn
SERPINB2 Dn
PRKAR2B Dn
PPARD Dn
TMEM156 Dn
ANGPTL4 Dn
PXYLP1 Dn
RFTN1 Dn
FRMD5 Dn
MB21D2 Dn
SRPX2 Dn
SUSD3 Dn
TLR4 Dn
SHISA2 Dn
ADGRE2 Dn
PROSER2 Dn
LINC01269 Dn
FAM110C Dn
PPP1R14C Dn
C15orf48 Dn
MYH15 Dn
GATA3 Dn
GALNT12 Dn
SPOCD1 Dn
TMEM51 Dn
PDE1C Dn
CALB2 Dn
PTGS2 Dn
RUSC2 Dn
LINC00518 Dn
NBPF1 Dn
NTN4 Dn
NRIP3 Dn
IL37 Dn
FER1L4 Dn
LRRN4 Dn
ZNF814 Dn
LINC00702 Dn
DPYSL3 Dn
ADRB2 Dn
C10orf55 Dn
DAGLA Dn
FNDC4 Dn
NFKBIE Dn
IL1RN Dn
