signature_symbol signature_score signature_direction
CXCL8 -30.641932798503 Dn
IL23A -30.1181830754929 Dn
TNFSF15 -29.3250885324581 Dn
CPA4 -29.2001959649483 Dn
LCP1 -28.8218558824386 Dn
S1PR1 -25.7929042511763 Dn
TNFAIP3 -25.6062462902817 Dn
CLDN1 -25.5362132003149 Dn
CDH2 -25.259363880727 Dn
HAS2 -25.2155587053391 Dn
GADD45A -24.6507350829799 Dn
LINC00052 -24.5957389195371 Dn
KPNA7 -23.9799122374195 Dn
CYR61 -23.2113927369395 Dn
SEMA7A -23.1588332748094 Dn
PDCD1LG2 -22.9208752939561 Dn
CST6 -22.7209611948242 Dn
ANKRD22 -22.1269173410993 Dn
IL17RD -21.9915100583464 Dn
CNN3 -21.9456506074798 Dn
LPAR1 -21.569893584382 Dn
DAPP1 -21.3614417959542 Dn
CXCL16 -20.9544455396347 Dn
SEMA3D -20.9483532841622 Dn
PLAU -20.9300778618604 Dn
FAM19A3 -20.3589136213525 Dn
EDN1 -20.3115645364396 Dn
DDAH1 -20.2335366676835 Dn
LIF -20.101645319284 Dn
GREM1 -20.0801887533812 Dn
KMO -19.920878413973 Dn
NEGR1 -19.8993536424798 Dn
HEPHL1 -19.4185363995591 Dn
FST -19.2687154663378 Dn
VGLL3 -18.7969406025709 Dn
MET -18.5132100575166 Dn
CCBE1 -18.255302948124 Dn
SFTA1P -17.7958898035428 Dn
MYL9 -17.7021814454626 Dn
HIF1A-AS2 -17.6740845011661 Dn
C15orf48 -17.5124083244156 Dn
LINC00472 -17.4830746389368 Dn
BIRC3 -17.3276041752171 Dn
PARM1 -17.2359116280762 Dn
KRTAP2-3 -17.1517566114828 Dn
MYH15 -17.1350554486416 Dn
CTGF -17.1121562579233 Dn
JUN -17.0427823185854 Dn
TMC5 -16.8108021402341 Dn
PMAIP1 -16.6125804038247 Dn
SERPINB7 -16.4826638461246 Dn
NAV3 -16.4361476651371 Dn
LRRN4 -16.2778908604276 Dn
NEDD4L -16.147910037647 Dn
PLK2 -16.1285305619098 Dn
SLCO4C1 -16.0605045458151 Dn
ENC1 -16.0511286349306 Dn
ESM1 -16.0196866043235 Dn
BMP4 -15.8707817051124 Dn
PTGER4 -15.8176125614496 Dn
SNX24 -15.7141294552521 Dn
LINC00704 -15.3494083049652 Dn
GLIPR1 -15.1959287896615 Dn
IL24 -15.1888329034119 Dn
RND3 -15.0924369603602 Dn
CTSE -14.9256546207523 Dn
ICAM1 -14.9134702747264 Dn
FGD6 -14.7110087193923 Dn
DDX58 -14.6949184168823 Dn
PLAUR -14.665688652702 Dn
NOCT -14.6591289244218 Dn
EHF -14.6169655520421 Dn
PDGFB -14.4498952966415 Dn
NFKBIE -14.4107602127424 Dn
KLF6 -14.375628661814 Dn
SOX15 -14.252897268092 Dn
ADAM19 -14.2408733380894 Dn
GBP1 -14.2116502126604 Dn
LINC01468 -14.1964495412668 Dn
CD274 -14.1597839675348 Dn
MIR22HG -14.1414041497203 Dn
PLK3 -14.0605035864335 Dn
INA -14.0509174156713 Dn
SLC44A3 -13.9844345517791 Dn
HMGCS1 -13.9439771312577 Dn
ARNTL2 -13.8847771269451 Dn
STAMBPL1 -13.7866829206143 Dn
TUFT1 -13.7844887593061 Dn
TLR4 -13.7508313788984 Dn
MT-TP -13.7229353158105 Dn
SLC16A2 -13.6887110562412 Dn
PKP2 -13.6490056510253 Dn
NFE2L3 -13.6419481326018 Dn
PPP1R14C -13.6207690228637 Dn
LMO7 -13.5336798201866 Dn
PLEKHF1 -13.4761324742928 Dn
CDH11 -13.3762361398291 Dn
ABTB2 -13.2505595530838 Dn
ARHGEF28 -13.1775108531353 Dn
GBP6 -13.0882794068295 Dn
HBEGF -13.0668239204122 Dn
EDARADD -12.9510493448561 Dn
HERC6 -12.9390773678355 Dn
ST6GALNAC5 -12.9009637030507 Dn
PARP12 -12.8482542283853 Dn
MIR205HG -12.8230123429772 Dn
FAR2 -12.7961700585096 Dn
AXL -12.7808148102598 Dn
F3 -12.7060866251504 Dn
PODXL -12.6194042679132 Dn
SNHG12 -12.5970392383938 Dn
IL27RA -12.5308604622586 Dn
SERTAD4 -12.4999033604214 Dn
ANKRD10 -12.4685870650382 Dn
PDE1C -12.3961001775717 Dn
TMEM200A -12.1095287500353 Dn
UBASH3B -12.1044227220825 Dn
FLII -12.059646335504 Dn
SUCO -12.0085035783641 Dn
ACAT2 -11.9252781126793 Dn
SQLE -11.9092107577129 Dn
G0S2 -11.9043299318995 Dn
CHST11 -11.873458701845 Dn
PTX3 -11.8190383257579 Dn
FRMD6 -11.8055652451377 Dn
ERAP2 -11.7672364254272 Dn
IL6 -11.7658277540351 Dn
ETS2 -11.636948807847 Dn
SEMA3A -11.61566606711 Dn
FOXA1 -11.5850541100277 Dn
RBMS2 -11.4946845983361 Dn
GRAMD3 -11.4869892459033 Dn
IRF6 -11.477651013619 Dn
CNN2 -11.4662658170033 Dn
SLC37A1 -11.4551324493622 Dn
RAB42 -11.4384757520269 Dn
SULT2B1 -11.4159375891974 Dn
NUAK2 -11.3988772887295 Dn
PDLIM5 -11.3883883512348 Dn
ETS1 -11.3371109685123 Dn
NT5E -11.3025079685088 Dn
GPR87 -11.2848218569015 Dn
SLC5A6 -11.2631713221754 Dn
RIN2 -11.2534110168483 Dn
NR5A2 -11.2261406948421 Dn
C1orf116 -11.2118925077745 Dn
DUSP14 -11.1984388911719 Dn
AGTR1 -11.1795630431433 Dn
DDX5 -10.9797678985269 Dn
CTNNAL1 -10.9693224725196 Dn
ARHGAP18 -10.9324889161263 Dn
ARRB2 -10.9124184103805 Dn
LYN -10.8864724832803 Dn
IFI44 -10.8675973604403 Dn
COL8A1 -10.8442671136051 Dn
CXCL11 -10.8226058771552 Dn
YRDC -10.815180984617 Dn
IFIT1 -10.7748030474747 Dn
LRIG1 -10.7053050834583 Dn
MB21D2 -10.6369675140856 Dn
ANGPTL4 -10.6314735487957 Dn
SEPT7 -10.6248663988461 Dn
CCDC80 -10.5908243085336 Dn
PHLDA2 -10.5844791737325 Dn
RPS2 -10.5698182313734 Dn
NIPA1 -10.5655419311078 Dn
STARD4 -10.5580987704503 Dn
CNKSR2 -10.5519960258145 Dn
OCLN -10.5302703742867 Dn
INPP4B -10.5091538689639 Dn
TM4SF1 -10.5075274406368 Dn
ANKRD1 -10.5056970460565 Dn
ITGBL1 -10.4716793550231 Dn
TTLL7 -10.4583076345601 Dn
GCH1 -10.4357652554475 Dn
DTNA -10.415409001688 Dn
PABPC1 -10.3986719358093 Dn
CABYR -10.3430188112029 Dn
ASAP1 -10.3161500709129 Dn
PRDM1 -10.2988795899986 Dn
FMNL1 -10.2880005706352 Dn
ULBP3 -10.2657653715475 Dn
LCAT -10.2598883112141 Dn
SMAGP -10.2537500133998 Dn
WNT10A -10.2475000763081 Dn
EPHA2 -10.2191423865272 Dn
CCND1 -10.2115264029818 Dn
TRHDE -10.2063635082376 Dn
