signature_symbol signature_direction
CXCL8 Dn
IL23A Dn
TNFSF15 Dn
CPA4 Dn
LCP1 Dn
S1PR1 Dn
TNFAIP3 Dn
CLDN1 Dn
CDH2 Dn
HAS2 Dn
GADD45A Dn
LINC00052 Dn
KPNA7 Dn
CYR61 Dn
SEMA7A Dn
PDCD1LG2 Dn
CST6 Dn
ANKRD22 Dn
IL17RD Dn
CNN3 Dn
LPAR1 Dn
DAPP1 Dn
CXCL16 Dn
SEMA3D Dn
PLAU Dn
FAM19A3 Dn
EDN1 Dn
DDAH1 Dn
LIF Dn
GREM1 Dn
KMO Dn
NEGR1 Dn
HEPHL1 Dn
FST Dn
VGLL3 Dn
MET Dn
CCBE1 Dn
SFTA1P Dn
MYL9 Dn
HIF1A-AS2 Dn
C15orf48 Dn
LINC00472 Dn
BIRC3 Dn
PARM1 Dn
KRTAP2-3 Dn
MYH15 Dn
CTGF Dn
JUN Dn
TMC5 Dn
NAV3 Dn
LRRN4 Dn
PLK2 Dn
SLCO4C1 Dn
ENC1 Dn
ESM1 Dn
PTGER4 Dn
LINC00704 Dn
IL24 Dn
PDGFB Dn
GBP1 Dn
CD274 Dn
MIR22HG Dn
TUFT1 Dn
MT-TP Dn
NFE2L3 Dn
PPP1R14C Dn
CDH11 Dn
GBP6 Dn
HBEGF Dn
EDARADD Dn
ST6GALNAC5 Dn
PDE1C Dn
TMEM200A Dn
G0S2 Dn
FRMD6 Dn
IL6 Dn
GRAMD3 Dn
NUAK2 Dn
NT5E Dn
COL8A1 Dn
CXCL11 Dn
LRIG1 Dn
ANGPTL4 Dn
RPS2 Dn
CNKSR2 Dn
ANKRD1 Dn
DTNA Dn
PABPC1 Dn
MARCH4 Dn
APOL2 Dn
GADD45B Dn
SAA1 Dn
LURAP1L-AS1 Dn
BNC2 Dn
CHRNB1 Dn
DYSF Dn
PLD6 Dn
FRMD5 Dn
MT-TT Dn
NUAK1 Dn
UPK2 Dn
MIR3689D2 Dn
ANXA9 Dn
MMP7 Up
ST8SIA4 Up
PLA2G4A Up
METTL7A Up
PDE3A Up
SERPINB3 Up
SULF2 Up
GAREM1 Up
CYP1B1 Up
CASP14 Up
TNFAIP6 Up
ANGPT1 Up
MAPK4 Up
OMD Up
CHRNA9 Up
BGN Up
SNAI1 Up
FOXO1 Up
IL33 Up
FOXI1 Up
TCP11L2 Up
PLXDC2 Up
ITGA1 Up
VCAN Up
KLF9 Up
IRX3 Up
KRT10 Up
PDCD4 Up
RORB Up
PDE7B Up
ABCA1 Up
TREM1 Up
MAP2K6 Up
NUPR1 Up
RNA5SP99 Up
APCDD1L Up
TSPAN18 Up
RNA5SP399 Up
C5AR2 Up
STOM Up
PID1 Up
SMOC1 Up
ATP6V0D2 Up
NOV Up
PTGS2 Up
PRSS12 Up
SCARA5 Up
LTBP1 Up
SYCE2 Up
FBN1 Up
MEFV Up
SDC2 Up
PCSK1 Up
DIXDC1 Up
TTLL1 Up
SLC1A1 Up
CRISPLD1 Up
SULT1E1 Up
LINC00589 Up
ALDH1L2 Up
UNC5B-AS1 Up
FDCSP Up
