symbol	score	direction
TNMD	-44.9719058779003	Up
FUCA2	-30.1013104946504	Up
C1orf112	-29.6003868200596	Up
FGR	-29.270388493497	Up
MAD1L1	-27.1935161595474	Up
NFYA	-24.4356201284956	Up
STPG1	-23.7952316995429	Up
CFTR	-23.1687224604847	Up
LAS1L	-22.4999901316591	Up
ENPP4	-22.4479142995437	Up
SEMA3F	-21.3316856134114	Up
ANKIB1	-20.7911230646138	Up
KRIT1	-19.9778762639995	Up
RAD52	-19.3737022623017	Up
MYH16	-19.1290978428824	Up
BAD	-19.0551197569587	Up
LAP3	-18.7753348498201	Up
CD99	-18.765492616657	Up
HS3ST1	-17.8742597547329	Up
AOC1	-17.84350682841	Up
WNT16	-17.7620520351934	Up
SNX11	-16.9700722114872	Up
TMEM176A	-16.9346169913286	Up
M6PR	-16.7719243979128	Up
