logFC AveExpr t P.Value adj.P.Val B gene_symbol Probe_ID
ENSG00000162496 -1.46915364624841 7.49135592566041 -25.1282482398105 1.14906628034887e-07 0.00225916932976021 5.74381852027866 DHRS3 ENSG00000162496
ENSG00000108602 1.32554257525163 6.64022017998039 22.6894323995286 2.2020346109292e-07 0.00225916932976021 5.53749135573931 ALDH3A1 ENSG00000108602
ENSG00000001084 1.26198260773834 7.36569007645832 21.6709403146695 2.94917888224213e-07 0.00225916932976021 5.43473934072343 GCLC ENSG00000001084
ENSG00000251402 -1.2279875258328 2.61347670284855 -13.7277357443497 5.25894045682768e-06 0.0251049963501212 4.04379738525642 FAM90A25P ENSG00000251402
ENSG00000151012 0.83756545341826 7.7986616368267 13.6446716622819 5.46212008836021e-06 0.0251049963501212 4.0206788382969 SLC7A11 ENSG00000151012
ENSG00000227300 0.755141559710633 8.64897422793228 11.8672191089215 1.30072867271516e-05 0.0400980250899968 3.45732847374081 KRT16P2 ENSG00000227300
ENSG00000179776 -0.931031845164616 5.61459745286919 -11.8145931739588 1.33698159200187e-05 0.0400980250899968 3.43842563889402 CDH5 ENSG00000179776
ENSG00000171903 1.14549494897196 6.23184716283711 11.732514576961 1.39586702371513e-05 0.0400980250899968 3.4086601081681 CYP4F11 ENSG00000171903
ENSG00000185567 0.703803012066651 5.85565160841105 11.4985626152631 1.58076731667543e-05 0.0403640152272422 3.32188190501984 AHNAK2 ENSG00000185567
ENSG00000181019 0.624723919874598 10.3516428561477 11.0390542988583 2.03225626800144e-05 0.045470346137301 3.14271386356793 NQO1 ENSG00000181019
ENSG00000237523 -0.618932861685373 6.80483290520661 -10.7885643594367 2.34000119051557e-05 0.045470346137301 3.03990276247646 LINC00857 ENSG00000237523
ENSG00000006210 0.748048424095813 7.74307483092182 10.5584432049204 2.67068612289341e-05 0.045470346137301 2.94207589099825 CX3CL1 ENSG00000006210
ENSG00000229590 -1.02874388090079 4.36618333711155 -10.5405036038384 2.69864390668819e-05 0.045470346137301 2.93430976027185 MSX2P1 ENSG00000229590
ENSG00000187134 0.991985093121934 2.46461596916969 10.3273680279243 3.05785868142232e-05 0.045470346137301 2.84045276040077 AKR1C1 ENSG00000187134
ENSG00000255277 0.642977268654467 5.71296655023203 10.2803137993569 3.14437958082479e-05 0.045470346137301 2.81933015266849 ABCC6P2 ENSG00000255277
ENSG00000116039 0.792197985248245 4.16370034347001 10.1767265005269 3.34493570813848e-05 0.045470346137301 2.77230690487418 ATP6V1B1 ENSG00000116039
ENSG00000235899 1.00498769008669 3.32933854834955 10.1674354576339 3.36363032215359e-05 0.045470346137301 2.7680537733474 LINC01564 ENSG00000235899
ENSG00000136383 -0.627196829909448 4.16897539126196 -10.0615299503622 3.58541628635117e-05 0.0457758064870201 2.71915564627822 ALPK3 ENSG00000136383
ENSG00000100292 0.567901031898271 6.4772410450176 9.87967507435504 4.00657495028205e-05 0.0484605783854904 2.63336540553161 HMOX1 ENSG00000100292
ENSG00000236786 0.645492872151349 7.43190530984578 9.58872307911408 4.80411219961858e-05 0.0536782524006814 2.49114294547661 TSPY15P ENSG00000236786
ENSG00000163646 0.791098914009877 3.27873026175334 9.38164241770639 5.48311776883748e-05 0.0536782524006814 2.38604213248268 CLRN1 ENSG00000163646
ENSG00000196611 0.543965305911487 6.75555978203484 9.35458462665061 5.57971338239838e-05 0.0536782524006814 2.37206370001444 MMP1 ENSG00000196611
ENSG00000198431 0.558467935914501 7.41991507504318 9.33944020901274 5.63462880724227e-05 0.0536782524006814 2.36421473087246 TXNRD1 ENSG00000198431
ENSG00000136155 -0.801421168250197 6.134662084522 -9.32074559670069 5.70327356613594e-05 0.0536782524006814 2.35450079969113 SCEL ENSG00000136155
ENSG00000124466 0.522743687036434 8.88372401819141 9.27991060562472 5.85657376635229e-05 0.0536782524006814 2.33318603665926 LYPD3 ENSG00000124466
ENSG00000114423 0.534078641741864 7.50966848540855 9.22430060755149 6.07299317878994e-05 0.0536782524006814 2.30394486696896 CBLB ENSG00000114423
ENSG00000096696 0.511404838463416 9.47673004062763 9.08922371466411 6.63790941506435e-05 0.0564984430620718 2.23187462299205 DSP ENSG00000096696
ENSG00000198074 1.31995218712277 5.95141431142882 8.97264053591329 7.1742482281998e-05 0.0588826423329498 2.1684611548503 AKR1B10 ENSG00000198074
ENSG00000206759 0.821434530595147 7.14325895956132 8.87226257461138 7.67605386997887e-05 0.0595136409966307 2.11294449465913 RNU6-787P ENSG00000206759
ENSG00000206344 -0.492298534160506 4.79233027231586 -8.73438438232589 8.43222201074465e-05 0.0595136409966307 2.03527314483179 HCG27 ENSG00000206344
ENSG00000072210 0.518602275047546 6.55978449536975 8.73429959161529 8.43271255032757e-05 0.0595136409966307 2.03522486855492 ALDH3A2 ENSG00000072210
ENSG00000150593 0.581033094226366 7.85773100873327 8.7315732153078 8.44850286830861e-05 0.0595136409966307 2.03367224660318 PDCD4 ENSG00000150593
ENSG00000252780 -0.710047754303492 2.16546809312252 -8.71487186957944 8.54597342538973e-05 0.0595136409966307 2.02414682550852 RNA5SP471 ENSG00000252780
ENSG00000148136 -0.527327408522672 2.56874757587296 -8.62785797544337 9.0750823249823e-05 0.0598596852930745 1.97411895325235 OR13C4 ENSG00000148136
ENSG00000115919 0.468985913759516 8.9586779093744 8.60530377602101 9.21827968159022e-05 0.0598596852930745 1.9610411094351 KYNU ENSG00000115919
ENSG00000173706 0.516213463271408 9.38497302712084 8.51439159093888 9.82229438575175e-05 0.0598596852930745 1.90785963200222 HEG1 ENSG00000173706
ENSG00000265873 0.877280043258814 4.2245970606063 8.49052399943092 9.98828749708647e-05 0.0598596852930745 1.89377263080238 MIR4289 ENSG00000265873
ENSG00000255095 1.22691079392867 3.13308633444408 8.47770774731882 0.000100787438018063 0.0598596852930745 1.88618666943075 OR1D4 ENSG00000255095
ENSG00000160211 0.485088934007908 8.29508924761636 8.44194654466 0.000103361385219366 0.0598596852930745 1.86493930951047 G6PD ENSG00000160211
ENSG00000138131 -0.5216400678794 5.8496053870726 -8.43065211981027 0.000104189870402636 0.0598596852930745 1.85820413895057 LOXL4 ENSG00000138131
ENSG00000201901 0.636866560975582 4.05392263718325 8.36536639561625 0.000109130233137441 0.0611688265300373 1.81903914512775 RN7SKP48 ENSG00000201901
ENSG00000225542 -0.652037076924815 1.95065547938692 -8.29275097411235 0.000114942691170706 0.0628928091855711 1.77500543478056 ZNF385D-AS1 ENSG00000225542
ENSG00000124882 -0.488651963069965 7.69880626133757 -8.23783928696389 0.000119573505823268 0.0639050869145236 1.74137352703152 EREG ENSG00000124882
ENSG00000245532 0.452616974744256 8.64022380862841 8.20161899953234 0.000122744722857992 0.0641090108181709 1.7190307467269 NEAT1 ENSG00000245532
ENSG00000104419 0.494427215015806 4.70101951234019 7.99732768690055 0.000142536692364665 0.0723389740379455 1.59060482665835 NDRG1 ENSG00000104419
ENSG00000081277 0.474946967913943 5.76434363593407 7.97604799959104 0.000144800288370289 0.0723389740379455 1.57698863032217 PKP1 ENSG00000081277
ENSG00000206716 -0.780389538314426 1.42732178471988 -7.9471042601591 0.000147945336572971 0.0723389740379455 1.55839498106938 RNU6-133P ENSG00000206716
ENSG00000124575 -0.524692606845484 9.19202110400626 -7.90616427795621 0.000152528022634771 0.0730259685035348 1.53194946775519 HIST1H1D ENSG00000124575
ENSG00000169962 0.570217564578315 4.44011661957533 7.87202394194182 0.000156473778776718 0.0733743971778615 1.50976515448618 TAS1R3 ENSG00000169962
ENSG00000140961 0.437945278872485 5.70697633557045 7.83371943697937 0.000161040216007993 0.0733743971778615 1.48473208632903 OSGIN1 ENSG00000140961
ENSG00000023909 0.459307679584972 8.45089588905184 7.79957685244802 0.000165239073201452 0.0733743971778615 1.46229076200493 GCLM ENSG00000023909
ENSG00000177257 -1.15666338147909 2.3091243964448 -7.79327953075353 0.000166027094262599 0.0733743971778615 1.45813838203788 DEFB4B ENSG00000177257
ENSG00000253161 -0.708450653924157 5.08711012531226 -7.73959999006155 0.000172921257200964 0.0749793096553842 1.42257412623186 LINC01605 ENSG00000253161
ENSG00000110090 0.603083539255678 8.55050189969652 7.666732588305 0.000182808864335212 0.0762716786336418 1.37381058487615 CPT1A ENSG00000110090
ENSG00000276600 0.462724154525765 5.38948786262223 7.636933022687 0.000187037140358948 0.0762716786336418 1.35370540856056 RAB7B ENSG00000276600
ENSG00000142634 -0.429944509347869 8.17228264231227 -7.6263136058892 0.000188570815165829 0.0762716786336418 1.34651766957584 EFHD2 ENSG00000142634
ENSG00000237886 0.5305763095611 4.3413620134414 7.62214071575942 0.000189177393591122 0.0762716786336418 1.34368993343641 NALT1 ENSG00000237886
ENSG00000206836 0.61861940222289 1.56783855970586 7.56962415756281 0.000197004704383391 0.0774493573602708 1.30794156607877 RNU6-1029P ENSG00000206836
ENSG00000102837 0.575178332294939 8.05332909595925 7.53616329699124 0.00020218440421753 0.0774493573602708 1.28500829858151 OLFM4 ENSG00000102837
ENSG00000260551 0.817877834951716 2.5590044290376 7.52125527840009 0.000204542033615049 0.0774493573602708 1.27475130279181 PWRN2 ENSG00000260551
ENSG00000252533 0.514860499631725 5.02577934816441 7.47751914631528 0.000211641627895515 0.0774493573602708 1.24451910677322 RNU6-572P ENSG00000252533
ENSG00000109193 -0.82241465193506 2.53979171968531 -7.47105279439076 0.000212714956731623 0.0774493573602708 1.24003139547516 SULT1E1 ENSG00000109193
ENSG00000127399 0.443877985998781 7.79087120172214 7.45453972532146 0.000215484182458244 0.0774493573602708 1.22855015065249 LRRC61 ENSG00000127399
ENSG00000213523 -0.429590745564546 6.86152950269343 -7.45332544229258 0.000215689433491029 0.0774493573602708 1.22770468733901 SRA1 ENSG00000213523
ENSG00000116701 0.434956218527787 6.10372609944028 7.35386374438468 0.000233283919071809 0.0824784268336806 1.15789369524126 NCF2 ENSG00000116701
ENSG00000230126 0.548190274640552 4.090767809993 7.31507769538359 0.000240584163128767 0.0829184569452305 1.13036823992351 FGF12-AS2 ENSG00000230126
ENSG00000148344 -0.583584271291545 7.57148405683888 -7.30903507849709 0.000241744772435074 0.0829184569452305 1.1260645632907 PTGES ENSG00000148344
ENSG00000252979 -0.698202431318676 2.02859053547903 -7.21770407966432 0.000260087257563551 0.0878980186186464 1.06050742046399 RNU6-165P ENSG00000252979
ENSG00000070731 0.451328385819943 8.22197345226493 7.18040648070709 0.000268030062693002 0.0887474978463324 1.03345833247132 ST6GALNAC2 ENSG00000070731
ENSG00000236565 -0.759328885088853 6.66085814071233 -7.16986674768117 0.000270324391856023 0.0887474978463324 1.02578532228479 HNRNPA3P5 ENSG00000236565
ENSG00000186119 -0.672968400496827 1.71657886161607 -7.11175198465416 0.000283383854886318 0.0905492921862213 0.983243583311162 OR5D18 ENSG00000186119
ENSG00000143819 0.577662696309017 7.32240957501946 7.07308888259515 0.000292470048680045 0.0905492921862213 0.954720447425005 EPHX1 ENSG00000143819
ENSG00000100234 -0.588409065135542 8.05970032386011 -7.06248794311537 0.000295018994080969 0.0905492921862213 0.946868774677415 TIMP3 ENSG00000100234
ENSG00000185215 -0.410648436117833 8.88403833964713 -7.04377587012367 0.000299580186594264 0.0905492921862213 0.932976849736841 TNFAIP2 ENSG00000185215
ENSG00000087842 0.501688670673836 7.42216505306029 7.04221237049907 0.000299964919823538 0.0905492921862213 0.931814208891772 PIR ENSG00000087842
ENSG00000198959 -0.443025819830122 6.95860482011455 -7.02534804799996 0.000304150701811864 0.0905492921862213 0.919255068338583 TGM2 ENSG00000198959
ENSG00000260762 -0.791124114089746 5.07887754743343 -7.02364139924841 0.000304577989675162 0.0905492921862213 0.91798220082913 ACSM5P1 ENSG00000260762
ENSG00000212724 -1.0796233321053 4.40981684994208 -7.00660372386027 0.000308881319680386 0.0905492921862213 0.905255850650311 KRTAP2-3 ENSG00000212724
ENSG00000196542 0.42113277975303 3.56879397290046 6.99201840813739 0.000312620273734849 0.0905492921862213 0.89433356706345 SPTSSB ENSG00000196542
ENSG00000244541 -0.704388190561311 5.38285058600336 -6.97195019926707 0.000317849263606665 0.0905492921862213 0.879263451427052 LINC01213 ENSG00000244541
