logFC AveExpr t P.Value adj.P.Val B gene_symbol Probe_ID
ENSG00000170961 -3.71385605161499 7.6412114179506 -63.3020720839648 2.29039567411165e-10 5.26355829867599e-06 13.1099511672463 HAS2 ENSG00000170961
ENSG00000182492 3.21515817133932 9.22818309884266 50.7908781599875 9.6453833258343e-10 7.2775503529261e-06 12.368328448785 BGN ENSG00000182492
ENSG00000186197 -3.48531871405736 5.14461078763038 -49.2489470229708 1.17949204983199e-09 7.2775503529261e-06 12.250130841517 EDARADD ENSG00000186197
ENSG00000151490 2.63704390056878 4.04083298445011 48.3296483105087 1.33380801541555e-09 7.2775503529261e-06 12.1761440311607 PTPRO ENSG00000151490
ENSG00000135373 -2.64588837081571 7.03540033404804 -47.0756445896443 1.58338417669512e-09 7.2775503529261e-06 12.0707137104988 EHF ENSG00000135373
ENSG00000172572 3.72769477464363 5.00272220097802 42.7589247662611 2.96498151397545e-09 9.61438918097543e-06 11.6633344854882 PDE3A ENSG00000172572
ENSG00000157111 -2.37256144096875 6.35910386408236 -42.3212036357151 3.17073282472736e-09 9.61438918097543e-06 11.6177598397628 TMEM171 ENSG00000157111
ENSG00000118777 -2.91627089459785 5.23428234236946 -41.9716703860002 3.34690019789406e-09 9.61438918097543e-06 11.5807510974877 ABCG2 ENSG00000118777
ENSG00000181617 4.84615893197137 3.73385918170954 39.8584410941871 4.68698434113912e-09 1.08438795461084e-05 11.3447221006414 FDCSP ENSG00000181617
ENSG00000185467 -3.37966549756445 5.39445668691857 -39.817311256063 4.71862823467578e-09 1.08438795461084e-05 11.3399095023358 KPNA7 ENSG00000185467
ENSG00000184254 -5.34640343921258 6.96864725023137 -37.4921415352417 6.98371902786711e-09 1.45902588163104e-05 11.0530878052737 ALDH1A3 ENSG00000184254
ENSG00000135074 -2.71533257326266 7.66714150922928 -36.4932109258052 8.32682611343818e-09 1.53387874708625e-05 10.9203767799012 ADAM19 ENSG00000135074
ENSG00000138678 -2.23436267337647 6.15772506448827 -36.071740702688 8.98121495950164e-09 1.53387874708625e-05 10.8625472861597 GPAT3 ENSG00000138678
ENSG00000137959 1.96428337242686 5.39503569104736 35.8528367209877 9.34437250737892e-09 1.53387874708625e-05 10.8320680194631 IFI44L ENSG00000137959
ENSG00000123610 3.74880504070555 7.84389168867082 34.4766068164492 1.20566126032244e-08 1.84715342823134e-05 10.633218304008 TNFAIP6 ENSG00000123610
ENSG00000198121 -2.87083383807092 5.08233181481512 -33.4691440705177 1.46236111992814e-08 2.10040755606679e-05 10.4793223735541 LPAR1 ENSG00000198121
ENSG00000138061 -3.47009903069262 6.18112884314173 -32.4032721591238 1.80512691753829e-08 2.21412139429969e-05 10.3082885338118 CYP1B1 ENSG00000138061
ENSG00000129595 2.29544617090038 5.79659521787264 32.3400439376188 1.82820931599277e-08 2.21412139429969e-05 10.2978654752444 EPB41L4A ENSG00000129595
ENSG00000111335 2.50784906799887 5.19946219055428 31.9703010755751 1.97019864767783e-08 2.21412139429969e-05 10.2362728410019 OAS2 ENSG00000111335
ENSG00000134243 -1.91456955786981 7.67408673070108 -31.9682005895354 1.97104080835848e-08 2.21412139429969e-05 10.2359197802665 SORT1 ENSG00000134243
ENSG00000133169 -1.72126510570825 7.02446052360959 -31.839938353614 2.02326048824218e-08 2.21412139429969e-05 10.2142924976079 BEX1 ENSG00000133169
ENSG00000185432 2.30340368230892 6.74185263382097 31.5614458801687 2.14222805722258e-08 2.23775195377418e-05 10.166867076844 METTL7A ENSG00000185432
ENSG00000164651 1.9999760545007 7.47372774428174 30.664543999499 2.58390858237419e-08 2.45559375314912e-05 10.0096656257693 SP8 ENSG00000164651
ENSG00000113532 2.07358081093171 5.53585132668327 30.4847536425576 2.68459903995027e-08 2.45559375314912e-05 9.97730954686209 ST8SIA4 ENSG00000113532
ENSG00000146070 -1.94835871961569 4.59162016729065 -30.4621787315722 2.69755857813408e-08 2.45559375314912e-05 9.97322644901805 PLA2G7 ENSG00000146070
ENSG00000138623 -1.6539928115611 8.29471879248463 -30.3244830583675 2.7781836117609e-08 2.45559375314912e-05 9.9482223644875 SEMA7A ENSG00000138623
ENSG00000120594 1.86776606579114 6.43317636658213 29.6583491974526 3.20964372656469e-08 2.60136566901249e-05 9.82480798119415 PLXDC2 ENSG00000120594
ENSG00000184599 -2.11270514777761 4.85566482204713 -29.647732179746 3.21712033887374e-08 2.60136566901249e-05 9.82280748372699 FAM19A3 ENSG00000184599
ENSG00000120738 1.62789589287115 7.96403733470015 29.5558153765118 3.28269459124329e-08 2.60136566901249e-05 9.8054435119858 EGR1 ENSG00000120738
ENSG00000073282 2.14695371196521 3.87493825988588 29.2085160848469 3.54475226055248e-08 2.71539838999189e-05 9.73910507537476 TP63 ENSG00000073282
ENSG00000123496 1.92255500410077 5.40077001052004 28.9189829816163 3.78175815842319e-08 2.78519731571444e-05 9.68290356149205 IL13RA2 ENSG00000123496
ENSG00000101335 -1.89361325601447 7.75865187518483 -28.8070259244418 3.87826091566347e-08 2.78519731571444e-05 9.66094909281672 MYL9 ENSG00000101335
ENSG00000198768 2.02833686136357 5.090288825996 28.5191054674985 4.1397456694619e-08 2.88289379484557e-05 9.6039101640725 APCDD1L ENSG00000198768
