logFC AveExpr t P.Value adj.P.Val B gene_symbol Probe_ID
ENSG00000169429 -1.94589029782283 6.30209067091779 -30.641932798503 1.86793023793249e-08 0.000129059510201973 9.85513545197712 CXCL8 ENSG00000169429
ENSG00000110944 -2.38429899966587 6.67965931595223 -30.1181830754929 2.09515729894153e-08 0.000129059510201973 9.77489187864627 IL23A ENSG00000110944
ENSG00000181634 -1.89556115077306 6.8395132264966 -29.3250885324581 2.50244564838319e-08 0.000129059510201973 9.64861922505325 TNFSF15 ENSG00000181634
ENSG00000128510 -1.65522098190083 6.72648178363568 -29.2001959649483 2.57454691338577e-08 0.000129059510201973 9.62819287324538 CPA4 ENSG00000128510
ENSG00000136167 -1.71002447073481 6.34160634651125 -28.8218558824386 2.80796114620714e-08 0.000129059510201973 9.56538635795667 LCP1 ENSG00000136167
ENSG00000137673 1.91390015875391 5.88914276617323 27.5016529583224 3.83566064353427e-08 0.000138477130705613 9.33477730750654 MMP7 ENSG00000137673
ENSG00000170989 -1.79917502035334 6.15110450726107 -25.7929042511763 5.87468433949306e-08 0.000138477130705613 9.0074672333448 S1PR1 ENSG00000170989
ENSG00000118503 -1.723885868829 7.47466845736332 -25.6062462902817 6.16502825567271e-08 0.000138477130705613 8.96957275386207 TNFAIP3 ENSG00000118503
ENSG00000163347 -2.1449279504532 6.90408082461688 -25.5362132003149 6.27818806641071e-08 0.000138477130705613 8.95524049158752 CLDN1 ENSG00000163347
ENSG00000170558 -1.54574021890591 6.77295654937218 -25.259363880727 6.74948560344893e-08 0.000138477130705613 8.89796315489039 CDH2 ENSG00000170558
ENSG00000170961 -1.59563258257406 8.70032315247106 -25.2155587053391 6.82772064888511e-08 0.000138477130705613 8.88880864701769 HAS2 ENSG00000170961
ENSG00000116717 -1.55642390912269 8.4628909931163 -24.6507350829799 7.93572498173357e-08 0.000138477130705613 8.76847318213789 GADD45A ENSG00000116717
ENSG00000259527 -2.32088894792577 5.78485706543964 -24.5957389195371 8.05423106901217e-08 0.000138477130705613 8.75652435266021 LINC00052 ENSG00000259527
ENSG00000113532 1.65555533850354 5.32683859046919 24.4049829860396 8.48130296419387e-08 0.000138477130705613 8.71475344330334 ST8SIA4 ENSG00000113532
ENSG00000185467 -1.85152722530662 6.15852582304749 -23.9799122374195 9.52989440489374e-08 0.000138477130705613 8.61981903320666 KPNA7 ENSG00000185467
ENSG00000116711 1.4350315331036 7.71356348789534 23.8651227844222 9.83807678072521e-08 0.000138477130705613 8.59373433214774 PLA2G4A ENSG00000116711
ENSG00000142871 -1.48272838018824 8.05504969306597 -23.2113927369395 1.18274333266707e-07 0.000138477130705613 8.44142774781226 CYR61 ENSG00000142871
ENSG00000138623 -1.46848606157255 8.3874721674789 -23.1588332748094 1.20064966507446e-07 0.000138477130705613 8.42889863866763 SEMA7A ENSG00000138623
ENSG00000197646 -1.75735518606688 6.45980413661724 -22.9208752939561 1.2857118276066e-07 0.000138477130705613 8.37163166022258 PDCD1LG2 ENSG00000197646
ENSG00000185432 1.6109716126783 6.39563659900566 22.851874364447 1.31165663273666e-07 0.000138477130705613 8.35485794044327 METTL7A ENSG00000185432
ENSG00000172572 2.16034927718769 4.21904945225005 22.7512602465198 1.35057246077697e-07 0.000138477130705613 8.33026234078643 PDE3A ENSG00000172572
ENSG00000175315 -1.28974287911683 6.78003272321669 -22.7209611948242 1.36255001699623e-07 0.000138477130705613 8.32282359222542 CST6 ENSG00000175315
