logFC AveExpr t P.Value adj.P.Val B gene_symbol Probe_ID
ENSG00000102837 2.79867795864395 9.16507890913376 44.3844732038171 2.58144530532683e-09 5.12040646376719e-05 9.90772049787997 OLFM4 ENSG00000102837
ENSG00000137959 2.92403332266514 5.37754355527562 40.7968527676946 4.45620857557738e-09 5.12040646376719e-05 9.70800066985464 IFI44L ENSG00000137959
ENSG00000204287 2.30724780794617 8.09560683417646 33.3599726233126 1.63868777307497e-08 0.000125528945710119 9.13446015001733 HLA-DRA ENSG00000204287
ENSG00000196611 1.73072152872032 7.34893789343925 28.6092097301215 4.42019801351947e-08 0.000212175357936363 8.59951345365433 MMP1 ENSG00000196611
ENSG00000262406 2.17158624570151 4.47603620261417 27.2671489552018 6.02615305273413e-08 0.000212175357936363 8.41461945109385 MMP12 ENSG00000262406
ENSG00000137673 2.32009069079751 8.12171151571991 27.1311051599197 6.22367436395064e-08 0.000212175357936363 8.39489196332475 MMP7 ENSG00000137673
ENSG00000131203 2.06277541111634 5.19264822575428 26.9728846371981 6.46284976961203e-08 0.000212175357936363 8.37170965263169 IDO1 ENSG00000131203
ENSG00000137745 1.67471027012436 9.56582378915598 24.8596930564018 1.09321391731929e-07 0.000284933536964231 8.03560914868209 MMP13 ENSG00000137745
ENSG00000078081 1.74860772608315 6.73466675549147 24.0377356230942 1.35734031835034e-07 0.000284933536964231 7.89027483395308 LAMP3 ENSG00000078081
ENSG00000126709 1.57434037258557 10.6916571393154 23.6550584958263 1.50495961781467e-07 0.000284933536964231 7.81952996730524 IFI6 ENSG00000126709
ENSG00000166670 2.41526659716203 4.01102572450519 23.0921340138895 1.75706555589187e-07 0.000284933536964231 7.71170501920546 MMP10 ENSG00000166670
ENSG00000143556 1.96336277826347 9.18603292764608 22.9482166002377 1.8291197557308e-07 0.000284933536964231 7.68339548067947 S100A7 ENSG00000143556
ENSG00000132530 1.73766035512384 9.33634955479441 22.8950862089467 1.85657642212202e-07 0.000284933536964231 7.67286606664892 XAF1 ENSG00000132530
ENSG00000089127 1.37468746919395 8.33360532376459 22.5298973278926 2.05868691813205e-07 0.000284933536964231 7.59932961604649 OAS1 ENSG00000089127
ENSG00000159763 3.14307532442435 3.62184863203979 22.5087162454713 2.07116641004109e-07 0.000284933536964231 7.59500129560475 PIP ENSG00000159763
ENSG00000115009 2.2923283629109 7.02193372165615 22.4899183826597 2.08231480101628e-07 0.000284933536964231 7.59115410544097 CCL20 ENSG00000115009
ENSG00000163082 1.4163719700044 6.26111581692321 22.4474254759015 2.10777169330835e-07 0.000284933536964231 7.58243704287952 SGPP2 ENSG00000163082
ENSG00000170477 -1.94093327134773 4.9285483751855 -22.0524569041528 2.36236529778869e-07 0.00029676835891519 7.50003791602837 KRT4 ENSG00000170477
ENSG00000111335 1.60976788263218 9.00969000313304 21.9227292903767 2.45359158408625e-07 0.00029676835891519 7.47242241491064 OAS2 ENSG00000111335
ENSG00000169469 -3.51062485171512 4.24125581106432 -21.269498413235 2.97942664022344e-07 0.000338780704943581 7.32906280841583 SPRR1B ENSG00000169469
ENSG00000148346 2.05416029556487 8.64640340595799 21.0070356787546 3.22648348295739e-07 0.000338780704943581 7.26936943308423 LCN2 ENSG00000148346
ENSG00000125730 1.21819400842475 9.99975978559978 20.9901290644224 3.24319024792602e-07 0.000338780704943581 7.26548187310043 C3 ENSG00000125730
ENSG00000165949 1.28592182907565 6.66558645427508 20.4236825713455 3.86507121341209e-07 0.000380848689987052 7.13218130445469 IFI27 ENSG00000165949
ENSG00000124107 1.21930137289834 10.390340970466 20.3326336615423 3.97735893115585e-07 0.000380848689987052 7.11018987927894 SLPI ENSG00000124107
ENSG00000162645 1.19879876961293 7.0444295860846 19.8906425523386 4.57879224026489e-07 0.00042090089789411 7.00112676738652 GBP2 ENSG00000162645
ENSG00000019186 1.79221089001998 5.40476869309371 19.2843836615909 5.58237163214693e-07 0.000493417240301418 6.84506105811541 CYP24A1 ENSG00000019186
ENSG00000111331 1.25802888305863 7.26362527702123 19.1484159190403 5.84092474549413e-07 0.000497149228060002 6.80899019850815 OAS3 ENSG00000111331
ENSG00000148677 -1.37732280440228 5.82532339515797 -18.8357998108349 6.48945856329385e-07 0.000532622311582343 6.72451534394558 ANKRD1 ENSG00000148677
ENSG00000108691 1.2391320176123 8.962146318402 18.4414255534529 7.4294041294064e-07 0.000588741849303064 6.61479259745965 CCL2 ENSG00000108691
ENSG00000120738 -1.51347461890676 7.20868303441621 -17.9271251780274 8.90052324775192e-07 0.000660005641637191 6.46618293045624 EGR1 ENSG00000120738
ENSG00000168016 1.06307212668094 5.62242624337959 17.8367933774349 9.19222373605096e-07 0.000660005641637191 6.43941260852141 TRANK1 ENSG00000168016
ENSG00000163220 1.64232836051534 8.93021271935395 17.759048330564 9.45211682278729e-07 0.000660005641637191 6.41620856225697 S100A9 ENSG00000163220
ENSG00000162896 2.91760638903052 5.88266327602304 17.7515945379579 9.47747538141391e-07 0.000660005641637191 6.41397586363366 PIGR ENSG00000162896
ENSG00000086548 -3.21913394002036 4.00194132367943 -17.3920878480063 1.07989261868454e-06 0.000721384118211684 6.30459769474925 CEACAM6 ENSG00000086548
