logFC AveExpr t P.Value adj.P.Val B gene_symbol Probe_ID
ENSG00000138061 1.47867069100863 7.72074111861318 22.587777125446 1.67466870983808e-07 0.0022663186660391 7.17265200690245 CYP1B1 ENSG00000138061
ENSG00000148677 -1.58628625513903 5.72084166978959 -21.867504155003 2.06927040723365e-07 0.0022663186660391 7.05077968602413 ANKRD1 ENSG00000148677
ENSG00000169245 1.67339395186389 8.56558437553412 19.1499104289481 4.91235493395583e-07 0.0022663186660391 6.5126872602137 CXCL10 ENSG00000169245
ENSG00000131203 1.27576811383872 4.79914457711547 19.1067098167667 4.98502650289193e-07 0.0022663186660391 6.50299597981087 IDO1 ENSG00000131203
ENSG00000162654 1.27784702581682 8.50474614039286 18.8371781765375 5.46734860692693e-07 0.0022663186660391 6.44163122967186 GBP4 ENSG00000162654
ENSG00000204287 1.24333652574994 7.56365119307834 18.2833445064619 6.63690795595608e-07 0.0022663186660391 6.31050098993169 HLA-DRA ENSG00000204287
ENSG00000135114 1.34126527870085 8.12726004987356 18.1589818751449 6.93759431254638e-07 0.0022663186660391 6.28008885414309 OASL ENSG00000135114
ENSG00000162645 1.10093782883935 6.99549911569781 17.8027514413978 7.88936483543482e-07 0.0022663186660391 6.19093028816505 GBP2 ENSG00000162645
ENSG00000057149 1.64198794735869 6.8170817083864 17.3648303076084 9.27199914296678e-07 0.0023034830628772 6.07701739472792 SERPINB3 ENSG00000057149
ENSG00000238648 -1.37015754389796 7.06054115768844 -16.976662167254 1.07343224928841e-06 0.0023034830628772 5.97188057044802 TRI-TAT2-3 ENSG00000238648
ENSG00000102837 1.12742365742377 8.32945175852367 16.9065652127978 1.10257663685867e-06 0.0023034830628772 5.95246187480617 OLFM4 ENSG00000102837
ENSG00000163082 0.978495984183378 6.0421778240127 15.76349748009 1.73359566493785e-06 0.0033199801646614 5.61584639525359 SGPP2 ENSG00000163082
ENSG00000089127 0.926801641921139 8.10966241012818 15.20028754394 2.19204347992508e-06 0.00387502701631987 5.4350943792651 OAS1 ENSG00000089127
ENSG00000185499 0.940757854327086 8.02967890927725 14.9819211076912 2.40617743496363e-06 0.0039497402594928 5.36214668845431 MUC1 ENSG00000185499
ENSG00000256262 1.50685709001238 7.35223083122574 14.4547057589915 3.02979216111206e-06 0.0043818658051877 5.17903994672408 USP30-AS1 ENSG00000256262
ENSG00000119922 0.924431543386713 8.79535648215654 14.4391913278591 3.05077467834312e-06 0.0043818658051877 5.17349701288651 IFIT2 ENSG00000119922
ENSG00000126010 -1.16953775999171 3.38726302499206 -14.2085876741824 3.38317139121798e-06 0.00457345069068121 5.09002986580292 GRPR ENSG00000126010
ENSG00000140465 1.31652951986083 5.43782049146539 14.0038338428314 3.71350341815646e-06 0.00460678237941107 5.01419192251113 CYP1A1 ENSG00000140465
ENSG00000115008 1.08362941780621 9.0499797641644 13.9486566792461 3.80874919319482e-06 0.00460678237941107 4.99347110207651 IL1A ENSG00000115008
ENSG00000132530 0.982633882044349 8.95883631825466 13.738881162722 4.19734467333463e-06 0.00482295889689515 4.91356983729046 XAF1 ENSG00000132530
ENSG00000251873 1.38035706145263 3.93500000599315 13.5689065594756 4.54578040534046e-06 0.00496633899786199 4.8474976070166 RNA5SP182 ENSG00000251873
ENSG00000115758 -0.820957360919193 8.76196433686213 -13.4741650714452 4.75433871254357e-06 0.00496633899786199 4.81014169405919 ODC1 ENSG00000115758
ENSG00000116039 1.15891129359972 4.34705699764574 13.3127916889696 5.13536134579882e-06 0.00497010291526619 4.7456259678373 ATP6V1B1 ENSG00000116039
ENSG00000111335 0.989748665568682 8.69968039460129 13.1529806440519 5.54759186029213e-06 0.00497010291526619 4.68061183734435 OAS2 ENSG00000111335
ENSG00000138646 0.85745081930647 6.15507122588186 13.0698118903422 5.77706233991964e-06 0.00497010291526619 4.64632686937373 HERC5 ENSG00000138646
