logFC AveExpr t P.Value adj.P.Val B gene_symbol Probe_ID
ENSG00000077420 -1.77066290794886 5.08982032371444 -20.3997019160173 1.67612072025134e-07 0.00303214966054193 6.70272646979814 APBB1IP ENSG00000077420
ENSG00000185499 -1.53574908612141 6.30882137727637 -19.101150770359 2.63883178324871e-07 0.00303214966054193 6.4652283190045 MUC1 ENSG00000185499
ENSG00000160182 -2.1355265107021 7.00514618659222 -15.9916490649308 8.94445536954454e-07 0.00590984256754502 5.74414846713846 TFF1 ENSG00000160182
ENSG00000153292 1.03870044643435 6.96028730780112 15.1895496481298 1.27151274061902e-06 0.00590984256754502 5.51428863178921 ADGRF1 ENSG00000153292
ENSG00000170369 -1.13056871411715 9.14431733688186 -15.1646891764611 1.28581057559397e-06 0.00590984256754502 5.50682264862129 CST2 ENSG00000170369
ENSG00000160181 -1.28008808574628 5.49263956092079 -14.4909672236666 1.75281023319122e-06 0.00671355532816126 5.29610535369241 TFF2 ENSG00000160181
ENSG00000111319 -0.877832137518834 6.31486124183262 -13.2139119526885 3.27935560367708e-06 0.0107661244468719 4.84785013401547 SCNN1A ENSG00000111319
ENSG00000204767 0.930046842526887 7.66243063257711 12.2185054205318 5.56427573979736e-06 0.014528579946398 4.44729096967384 FAM196B ENSG00000204767
ENSG00000102243 -1.46148545511458 4.6421425981575 -12.0981870128047 5.94737354911559e-06 0.014528579946398 4.39546269198345 VGLL1 ENSG00000102243
ENSG00000180573 1.04456993588663 8.40322834358959 11.7251438400205 7.33987673398483e-06 0.014528579946398 4.22973373825052 HIST1H2AC ENSG00000180573
ENSG00000101333 1.23434086738407 4.8196829638495 11.4630819151173 8.54033498982791e-06 0.014528579946398 4.10857566101659 PLCB4 ENSG00000101333
ENSG00000161638 -0.775615469628843 8.40168628583037 -11.375819201382 8.9884549121881e-06 0.014528579946398 4.06733230660167 ITGA5 ENSG00000161638
ENSG00000049323 -0.807181344968085 8.88495459068361 -11.3568898512252 9.08915250999054e-06 0.014528579946398 4.05832519865142 LTBP1 ENSG00000049323
ENSG00000095321 -0.808631929181329 6.81668834316855 -11.2677219023752 9.58106368525939e-06 0.014528579946398 4.01560384060714 CRAT ENSG00000095321
ENSG00000146047 1.07217136251823 5.67304598841268 11.1927412805018 1.00181978831175e-05 0.014528579946398 3.97930237345746 HIST1H2BA ENSG00000146047
ENSG00000186310 -1.54778527614052 4.35531906303787 -11.1497178509963 1.02792291842445e-05 0.014528579946398 3.95831545235005 NAP1L3 ENSG00000186310
ENSG00000137628 -0.897107403097491 7.42767544485554 -11.0755761908449 1.07473938944679e-05 0.014528579946398 3.92187705181383 DDX60 ENSG00000137628
ENSG00000213949 -0.792036469195455 6.78992678463248 -10.9139385779423 1.18544475949253e-05 0.0146945120756005 3.84122652271422 ITGA1 ENSG00000213949
ENSG00000127946 -1.00308094355458 5.88961005165159 -10.8682008229751 1.21908140401707e-05 0.0146945120756005 3.81809954985421 HIP1 ENSG00000127946
ENSG00000173801 -0.731426474592603 7.70015681682226 -10.7071139782859 1.34647785427402e-05 0.0146945120756005 3.73555240410845 JUP ENSG00000173801
ENSG00000179083 -1.10095416468938 5.11692398372862 -10.6203415179888 1.42132710067389e-05 0.0146945120756005 3.69036917814705 FAM133A ENSG00000179083
ENSG00000185130 0.87277192706199 5.69439241876189 10.5190315167747 1.51475989348939e-05 0.0146945120756005 3.63696854392836 HIST1H2BL ENSG00000185130
ENSG00000163975 -0.814630416058561 7.80074504819365 -10.4908582624786 1.54196763605246e-05 0.0146945120756005 3.62199298833533 MFI2 ENSG00000163975
ENSG00000196747 0.729237545253044 9.83388303440465 10.4652845802156 1.56714585802537e-05 0.0146945120756005 3.60835160540568 HIST1H2AI ENSG00000196747
ENSG00000109436 -0.72260166246582 7.11092135339915 -10.4340327728316 1.59855011483405e-05 0.0146945120756005 3.59161960248453 TBC1D9 ENSG00000109436
ENSG00000132470 -0.728609443494101 8.6716965148309 -10.112942061118 1.96614625908398e-05 0.0173784643000035 3.41569139335527 ITGB4 ENSG00000132470
ENSG00000159167 -0.680338584189419 8.45592331504667 -10.0144022906168 2.0975411071901e-05 0.0178531822904947 3.36019625892249 STC1 ENSG00000159167
ENSG00000111335 -0.734082526942373 7.50829709264638 -9.72208771439055 2.54983709626092e-05 0.0197765416122265 3.1912542569831 OAS2 ENSG00000111335
ENSG00000134419 0.768995138713424 6.03311386483077 9.63204201834714 2.71073454378348e-05 0.0197765416122265 3.13787754574145 RPS15A ENSG00000134419
ENSG00000197321 -0.830220950540553 6.35269889566094 -9.61366806974886 2.74496172652608e-05 0.0197765416122265 3.12690702278739 SVIL ENSG00000197321
ENSG00000131746 -0.621158451080635 9.31284359950266 -9.60321417596539 2.76465380189563e-05 0.0197765416122265 3.12065330495157 TNS4 ENSG00000131746
ENSG00000168032 -0.660733973674134 6.88356490605547 -9.58358290776847 2.80206750661396e-05 0.0197765416122265 3.10888589390817 ENTPD3 ENSG00000168032
ENSG00000115414 -0.770256561608588 8.63080579003088 -9.56405740271411 2.83984975938155e-05 0.0197765416122265 3.09715122938632 FN1 ENSG00000115414
ENSG00000033327 -0.644149228019353 4.20177583451606 -9.3390109224711 3.31968457932573e-05 0.0224381386227896 2.95966181582341 GAB2 ENSG00000033327
ENSG00000197153 0.996865893579832 7.93152916451519 9.29273058531795 3.42938311913984e-05 0.0225173295602722 2.93086861309822 HIST1H3J ENSG00000197153
ENSG00000169129 -0.65403171120908 6.49419496450257 -9.21556948603993 3.62153265291605e-05 0.0226509729732474 2.88246199243559 AFAP1L2 ENSG00000169129
ENSG00000205336 -0.688413232348827 7.79155821246366 -9.17159642515024 3.73647533160576e-05 0.0226509729732474 2.8546493975436 ADGRG1 ENSG00000205336
ENSG00000101441 -0.69238407114238 11.4305174998864 -9.1682356564591 3.74542871495322e-05 0.0226509729732474 2.85251693439865 CST4 ENSG00000101441
ENSG00000185585 -0.736064234143913 5.82569361637048 -9.09239731374272 3.95407287174129e-05 0.0232996278629453 2.80413758819637 OLFML2A ENSG00000185585
ENSG00000183049 -0.664891764981554 5.94446781516551 -8.98514250170078 4.27199922123309e-05 0.0244422226779079 2.73486244291561 CAMK1D ENSG00000183049
ENSG00000214016 0.744813238517794 8.81414729389364 8.95682674910257 4.36069418125506e-05 0.0244422226779079 2.71640453873144 RPSAP61 ENSG00000214016
ENSG00000084731 -0.606304183118419 5.68778442031485 -8.90450220032764 4.53013326561844e-05 0.0247873791850422 2.6821086354214 KIF3C ENSG00000084731
ENSG00000165029 -0.815652644497414 5.89314395976172 -8.86836965535853 4.65148824177197e-05 0.0248595002986423 2.65828267550907 ABCA1 ENSG00000165029
ENSG00000196878 -0.705477860616279 8.41245776076921 -8.82816543897657 4.79086301850547e-05 0.0248687565801552 2.63163351780957 LAMB3 ENSG00000196878
ENSG00000104368 -0.610461872351045 10.0135529783048 -8.76510629276997 5.01909262479153e-05 0.0248687565801552 2.58953935799949 PLAT ENSG00000104368
ENSG00000103381 0.617214722899033 8.66437162533345 8.75901515039964 5.04178218940044e-05 0.0248687565801552 2.58545406578117 CPPED1 ENSG00000103381
ENSG00000157064 -0.624878408354479 7.2978360728895 -8.73823039032493 5.12008372592564e-05 0.0248687565801552 2.57148820513402 NMNAT2 ENSG00000157064
ENSG00000125844 -0.605759679437973 8.81402838366737 -8.71886132137134 5.19429231037574e-05 0.0248687565801552 2.55843778645517 RRBP1 ENSG00000125844
