signature_symbol signature_direction
KRT4 Dn
SPRR1B Dn
ANKRD1 Dn
EGR1 Dn
CEACAM6 Dn
CYP1A1 Dn
RNU2-63P Dn
CTGF Dn
CYR61 Dn
PNLIPRP3 Dn
LINC01213 Dn
SFTA1P Dn
CST6 Dn
FOSL1 Dn
SERPINB7 Dn
GALNT5 Dn
KRTAP2-3 Dn
MIR3675 Dn
FAM222A-AS1 Dn
TRI-TAT2-3 Dn
RNVU1-3 Dn
LINC00707 Dn
MYEOV Dn
RNU6-1270P Dn
DEFB4B Dn
RNVU1-6 Dn
LINC00472 Dn
C19orf33 Dn
TPI1P3 Dn
RNU6ATAC36P Dn
SPRR3 Dn
RNU5B-1 Dn
OLFM4 Up
IFI44L Up
HLA-DRA Up
MMP1 Up
MMP12 Up
MMP7 Up
IDO1 Up
MMP13 Up
LAMP3 Up
IFI6 Up
MMP10 Up
S100A7 Up
XAF1 Up
OAS1 Up
PIP Up
CCL20 Up
SGPP2 Up
OAS2 Up
LCN2 Up
C3 Up
IFI27 Up
SLPI Up
GBP2 Up
CYP24A1 Up
OAS3 Up
CCL2 Up
TRANK1 Up
S100A9 Up
PIGR Up
HERC6 Up
SERPINB3 Up
ACTBL2 Up
PDZK1IP1 Up
MUC1 Up
PI3 Up
CTSS Up
DDX60 Up
IFI44 Up
IRAK3 Up
RSAD2 Up
PGLYRP4 Up
CMPK2 Up
CXCL8 Up
LAPTM5 Up
CXCL10 Up
GBP4 Up
MX1 Up
CYP4X1 Up
RNA5SP182 Up
TNIP3 Up
CD74 Up
SLC28A3 Up
SAA1 Up
RDH10 Up
LTF Up
TMEM140 Up
BBOX1 Up
HLA-DPB1 Up
ALDH1L2 Up
KCNJ2 Up
HLA-DPA1 Up
RNF152 Up
ARGFX Up
HLA-DRB1 Up
OR1D4 Up
MTRNR2L12 Up
PTPRZ1 Up
LINC01522 Up
