signature_symbol signature_score signature_direction
ANKRD1 -21.867504155003 Dn
TRI-TAT2-3 -16.976662167254 Dn
GRPR -14.2085876741824 Dn
HIST1H3J -10.5921832226477 Dn
SFTA1P -10.4517954321799 Dn
CXCL14 -9.08544342989862 Dn
KRTAP2-3 -8.90114537990613 Dn
CEP57L1 -8.78461106217777 Dn
FAR2P2 -8.44074057751131 Dn
MED27 -7.25516537053845 Dn
DEFB4B -6.69041645560548 Dn
GTF2H2 -6.4712345274987 Dn
PABPC1 -6.39871358065723 Dn
RNU6ATAC36P -6.17204474988989 Dn
OCIAD1-AS1 -5.93127031592068 Dn
LINC00472 -5.87345101841035 Dn
RNU6-1282P -5.86520795341625 Dn
RNU2-63P -5.32459466252324 Dn
DIO2 -5.23616448794275 Dn
HIST1H2BG -5.10172582011101 Dn
RNU6-1043P -4.97906348227356 Dn
CYP1B1 22.587777125446 Up
CXCL10 19.1499104289481 Up
IDO1 19.1067098167667 Up
GBP4 18.8371781765375 Up
HLA-DRA 18.2833445064619 Up
OASL 18.1589818751449 Up
GBP2 17.8027514413978 Up
SERPINB3 17.3648303076084 Up
OLFM4 16.9065652127978 Up
USP30-AS1 14.4547057589915 Up
CYP1A1 14.0038338428314 Up
IL1A 13.9486566792461 Up
RNA5SP182 13.5689065594756 Up
ATP6V1B1 13.3127916889696 Up
TSPY15P 13.0534290847058 Up
LAPTM5 12.7023810518087 Up
RSAD2 12.6863891434097 Up
C1S 12.3838984327718 Up
PADI3 12.1035598257074 Up
CCL20 11.8258856279728 Up
RNU6-787P 11.5661780932882 Up
CTSO 11.1690179809099 Up
ALDH3A1 10.7143378762136 Up
IFI44L 10.6672888711262 Up
RN7SKP65 10.5431839774701 Up
INMT 10.2457317383193 Up
ALDH1L2 9.82665289518683 Up
TMPRSS4 8.66515422549282 Up
OR1D4 6.94340295754639 Up
CCL5 6.44075693459016 Up
HAUS7 5.14108109892031 Up
