signature_symbol signature_score signature_direction
KRT15 -16.0157767178407 dn
CTSL2 -11.730275944525 dn
PADI3 -10.2875929095392 dn
KRT14 -11.2924714945943 dn
HIST1H3J -8.06113930754876 dn
HIST1H2AJ -9.65043682330415 dn
EFNA1 -12.2398230132334 dn
PLAT -11.1498384611621 dn
GBP2 -8.95667680522806 dn
ANXA9 -8.34550452014976 dn
ARL14 -8.37006324052025 dn
TP73 -8.51559373647805 dn
CD14 -8.42264944866588 dn
ANKRD2 -14.9832781396132 dn
FAM46B -15.5863571597763 dn
MIR4653 -8.03599036504433 dn
PTN -9.80078801439261 dn
CCL2 -13.0721277441409 dn
LINC00052 -15.7521312992423 dn
SYTL2 -8.49751118684271 dn
FGD3 -10.1331416725589 dn
BARX2 -13.4747385512768 dn
LGALS1 -8.06882769013497 dn
CD70 -9.34732757009236 dn
CLEC7A -9.24345158048205 dn
SERPINB9 -8.09576064998208 dn
S100A8 -9.70701777300918 dn
OLFM4 -13.0442098195866 dn
CPA4 -10.5284172746368 dn
S100A7 -11.1983975677594 dn
TNFAIP2 -11.5958754050947 dn
CCL20 -15.2492148282675 dn
AGFG2 -10.7124196727605 dn
MMP13 -23.0001885642418 dn
LY6D -14.077384813126 dn
LOC100996267 -20.2233522904442 dn
CDH5 -17.1294212295998 dn
ALPP -10.6771765178346 dn
IGFL1 -13.1859031430791 dn
DIO2 -11.8108883592477 dn
LYPD1 -9.51346861296931 dn
MMP1 -12.161366636943 dn
ASNS 19.5454688643951 up
FAM129A 15.1943337844009 up
PHGDH 11.6312598985912 up
VIPR1 13.052770912614 up
LOC344887 15.0503537367522 up
AHNAK2 9.86551849314656 up
MAP1B 25.2144995665363 up
ACOXL 8.53051256780609 up
GCLC 12.6392754597561 up
GDF15 14.1884253578115 up
ANTXR2 13.2331355205981 up
MAP2 10.5687828034065 up
FZD7 9.12850805502312 up
SLC6A15 9.33811893760883 up
GPR1 9.57467295232038 up
ALDH1L2 21.5899314411544 up
SLC7A11 15.7198768435203 up
SNORA47 9.04794102948533 up
MAOA 11.1300851549013 up
CYP4V2 13.9802227692384 up
DYSF 12.0231326269808 up
CBS 13.3060351540487 up
ALOX5AP 9.70733737775756 up
ABCC3 11.9030577823586 up
SERPINB2 12.4935742678206 up
SEL1L3 16.8263564505974 up
MERTK 10.8638541472531 up
RPS6KA2 9.60773805565266 up
PCK2 9.59574420605212 up
MGLL 10.9569258395593 up
ETV5 12.7270742379957 up
ARHGEF2 11.8889914567431 up
THBD 11.9040710235969 up
SERPINE2 13.060849731574 up
TRIB3 12.7569114113048 up
SESN2 14.0607419616232 up
LAMP3 14.8771129025124 up
LURAP1L 12.0229961072351 up
PDE5A 13.5083881600168 up
LCN2 13.3393434303173 up
