signature_symbol signature_direction
HLA-DRA Dn
CYP1B1 Dn
CEMIP Dn
MMP1 Dn
CPM Dn
CST2 Dn
ANXA10 Dn
OTUB2 Dn
ADGRF1 Dn
MUC1 Dn
APCDD1L Dn
EHF Dn
CD74 Dn
CYP24A1 Dn
PLAT Dn
HLA-DPA1 Dn
CST4 Dn
VEGFA Dn
SERPINB2 Dn
ITGA1 Dn
APCDD1L-AS1 Dn
SLC14A1 Dn
GALNT12 Dn
HAS2 Dn
SECTM1 Dn
RARRES3 Dn
ZNF175 Dn
PTGS2 Dn
ADGRF5 Dn
GBP4 Dn
TNFSF10 Dn
CLMN Dn
FAM105A Dn
SLC37A2 Dn
DMBT1 Dn
ABCA1 Dn
ACTBL2 Dn
TFF1 Dn
CFP Dn
GPRC5C Dn
FPR1 Dn
RNF128 Dn
COL4A5 Dn
ADAMTS15 Dn
IL1A Dn
TMEM163 Dn
AIM2 Dn
CMKLR1 Dn
GPR68 Dn
TMEM45B Dn
HLA-DRB1 Dn
SHISA2 Dn
TFF2 Dn
PAPPA Dn
GBP6 Dn
FLG Dn
LINC00996 Dn
PCDHB14 Dn
IL13RA2 Up
UCA1 Up
PLCB4 Up
CDR1-AS Up
IL7R Up
KRT4 Up
FST Up
SFTA1P Up
IGFL1 Up
FAM49A Up
SPNS2 Up
SYNPR-AS1 Up
XAGE2 Up
SPANXB1 Up
DMKN Up
HIST1H4D Up
L1CAM Up
LINC00707 Up
RAB3B Up
KCNQ3 Up
DCDC2 Up
MAGEA6 Up
CYCSP6 Up
SLITRK1 Up
GJB3 Up
CDR1 Up
CXCR4 Up
DCLK1 Up
LINC01111 Up
MAGEC2 Up
CCAT1 Up
MOB3B Up
AMPH Up
