signature_symbol signature_score signature_direction
HAS2 -63.3020720839648 Dn
EDARADD -49.2489470229708 Dn
EHF -47.0756445896443 Dn
TMEM171 -42.3212036357151 Dn
ABCG2 -41.9716703860002 Dn
KPNA7 -39.817311256063 Dn
ALDH1A3 -37.4921415352417 Dn
ADAM19 -36.4932109258052 Dn
GPAT3 -36.071740702688 Dn
LPAR1 -33.4691440705177 Dn
CYP1B1 -32.4032721591238 Dn
SORT1 -31.9682005895354 Dn
BEX1 -31.839938353614 Dn
PLA2G7 -30.4621787315722 Dn
SEMA7A -30.3244830583675 Dn
FAM19A3 -29.647732179746 Dn
MYL9 -28.8070259244418 Dn
PLA2G16 -27.6033736096419 Dn
IL24 -27.4510780047576 Dn
ABTB2 -26.053077974942 Dn
TTC9 -25.8074621337771 Dn
FBP1 -25.7866917061198 Dn
KMO -25.597943015113 Dn
PLAU -25.0767087485468 Dn
PLK2 -24.7965220306959 Dn
LIF -24.6486349770731 Dn
EXT1 -24.6112266555303 Dn
TNFAIP3 -24.3600743291329 Dn
CPA4 -23.8713596919961 Dn
VGLL3 -23.4477933190133 Dn
MAP1B -23.4116723859091 Dn
FOSL1 -22.8754095139203 Dn
IL1A -22.6244418750304 Dn
SLC37A2 -22.6040890230138 Dn
ATP6V0D2 -22.5898677952369 Dn
LIMA1 -22.4674660046273 Dn
LINC00665 -22.3082987322219 Dn
EDN1 -22.13765263499 Dn
SLC44A3 -21.8748005159453 Dn
CHRNB1 -21.8567967702827 Dn
TMC5 -21.7945632139658 Dn
INA -21.7492672994099 Dn
TNFSF15 -21.5622167672595 Dn
IL17RD -21.4861512489894 Dn
ZNF114 -21.4713230865349 Dn
KRT23 -21.2960419961492 Dn
C6orf132 -21.2154205944289 Dn
LAMA4 -21.0924522822681 Dn
TINAGL1 -20.7054725236845 Dn
SERINC2 -20.6507476561131 Dn
SEMA3D -20.5254248614652 Dn
ARNTL2 -20.2859127732953 Dn
IL1B -20.1513146455307 Dn
OCLN -19.9272838228938 Dn
CST6 -19.7194808295325 Dn
FOXA1 -19.5216977493305 Dn
ARRDC4 -19.4817763864289 Dn
STRA6 -19.4406469592787 Dn
MECOM -19.4099776933571 Dn
AHR -19.3187200724398 Dn
TRAM2 -18.961301111268 Dn
CCDC80 -18.7631936104612 Dn
A2ML1 -18.6722060082657 Dn
EML5 -18.5796301400302 Dn
IL33 -18.5620789688106 Dn
ITGA2 -18.4570473064585 Dn
NRP1 -18.3489928409233 Dn
OVOL1 -18.1015065589296 Dn
S1PR1 -17.9758182381482 Dn
ESM1 -17.8077798933183 Dn
DHRS3 -17.7525068306479 Dn
PDGFB -17.7489233548999 Dn
RARRES1 -17.6506973033502 Dn
SLC5A6 -17.5696538106023 Dn
MYPN -17.4843078787065 Dn
MAPK13 -17.3372903562922 Dn
ERP27 -17.2193833612472 Dn
IL23A -17.0510838647856 Dn
HMOX1 -17.007121249866 Dn
ACOXL -16.9657101229555 Dn
DYSF -16.9231753747099 Dn
PTHLH -16.9136293308485 Dn
DOCK10 -16.8566845031737 Dn
SULT2B1 -16.8289020243032 Dn
GATA6 -16.7950021606616 Dn
PARM1 -16.7827117900252 Dn
MOB3B -16.6523319594987 Dn
DAPP1 -16.603242169226 Dn
TRAF6 -16.5554807174074 Dn
SMAGP -16.3912544431364 Dn
DUSP14 -16.3731174527872 Dn
FST -16.3572996827514 Dn
PLAT -16.23746683841 Dn
HIF1A-AS2 -15.9702346278586 Dn
HEPHL1 -15.6944002728736 Dn
BHLHE41 -15.4415576594352 Dn
SCEL -15.4007111226596 Dn
MARCH4 -15.2496894767634 Dn
