signature_symbol signature_score signature_direction
CXCL8 -30.641932798503 Dn
IL23A -30.1181830754929 Dn
TNFSF15 -29.3250885324581 Dn
CPA4 -29.2001959649483 Dn
LCP1 -28.8218558824386 Dn
S1PR1 -25.7929042511763 Dn
TNFAIP3 -25.6062462902817 Dn
CLDN1 -25.5362132003149 Dn
CDH2 -25.259363880727 Dn
HAS2 -25.2155587053391 Dn
GADD45A -24.6507350829799 Dn
LINC00052 -24.5957389195371 Dn
KPNA7 -23.9799122374195 Dn
CYR61 -23.2113927369395 Dn
SEMA7A -23.1588332748094 Dn
PDCD1LG2 -22.9208752939561 Dn
CST6 -22.7209611948242 Dn
ANKRD22 -22.1269173410993 Dn
IL17RD -21.9915100583464 Dn
CNN3 -21.9456506074798 Dn
LPAR1 -21.569893584382 Dn
DAPP1 -21.3614417959542 Dn
CXCL16 -20.9544455396347 Dn
SEMA3D -20.9483532841622 Dn
PLAU -20.9300778618604 Dn
FAM19A3 -20.3589136213525 Dn
EDN1 -20.3115645364396 Dn
DDAH1 -20.2335366676835 Dn
LIF -20.101645319284 Dn
GREM1 -20.0801887533812 Dn
KMO -19.920878413973 Dn
NEGR1 -19.8993536424798 Dn
HEPHL1 -19.4185363995591 Dn
FST -19.2687154663378 Dn
VGLL3 -18.7969406025709 Dn
MET -18.5132100575166 Dn
CCBE1 -18.255302948124 Dn
SFTA1P -17.7958898035428 Dn
MYL9 -17.7021814454626 Dn
HIF1A-AS2 -17.6740845011661 Dn
C15orf48 -17.5124083244156 Dn
LINC00472 -17.4830746389368 Dn
BIRC3 -17.3276041752171 Dn
PARM1 -17.2359116280762 Dn
KRTAP2-3 -17.1517566114828 Dn
MYH15 -17.1350554486416 Dn
CTGF -17.1121562579233 Dn
JUN -17.0427823185854 Dn
TMC5 -16.8108021402341 Dn
NAV3 -16.4361476651371 Dn
LRRN4 -16.2778908604276 Dn
PLK2 -16.1285305619098 Dn
SLCO4C1 -16.0605045458151 Dn
ENC1 -16.0511286349306 Dn
ESM1 -16.0196866043235 Dn
PTGER4 -15.8176125614496 Dn
LINC00704 -15.3494083049652 Dn
IL24 -15.1888329034119 Dn
PDGFB -14.4498952966415 Dn
GBP1 -14.2116502126604 Dn
CD274 -14.1597839675348 Dn
MIR22HG -14.1414041497203 Dn
TUFT1 -13.7844887593061 Dn
MT-TP -13.7229353158105 Dn
NFE2L3 -13.6419481326018 Dn
PPP1R14C -13.6207690228637 Dn
CDH11 -13.3762361398291 Dn
GBP6 -13.0882794068295 Dn
HBEGF -13.0668239204122 Dn
EDARADD -12.9510493448561 Dn
ST6GALNAC5 -12.9009637030507 Dn
PDE1C -12.3961001775717 Dn
TMEM200A -12.1095287500353 Dn
G0S2 -11.9043299318995 Dn
FRMD6 -11.8055652451377 Dn
IL6 -11.7658277540351 Dn
GRAMD3 -11.4869892459033 Dn
NUAK2 -11.3988772887295 Dn
NT5E -11.3025079685088 Dn
COL8A1 -10.8442671136051 Dn
CXCL11 -10.8226058771552 Dn
LRIG1 -10.7053050834583 Dn
ANGPTL4 -10.6314735487957 Dn
RPS2 -10.5698182313734 Dn
CNKSR2 -10.5519960258145 Dn
ANKRD1 -10.5056970460565 Dn
DTNA -10.415409001688 Dn
PABPC1 -10.3986719358093 Dn
MARCH4 -9.85421696027622 Dn
APOL2 -9.83224661312303 Dn
GADD45B -9.72844634094393 Dn
SAA1 -9.5945484464635 Dn
LURAP1L-AS1 -9.53645163594037 Dn
BNC2 -9.34635303745409 Dn
CHRNB1 -9.21593132111938 Dn
DYSF -9.20427813724162 Dn
PLD6 -9.151604566087 Dn
FRMD5 -9.11718109173278 Dn
MT-TT -8.75947620599312 Dn
NUAK1 -8.59738247798979 Dn
UPK2 -8.3771899927387 Dn
MIR3689D2 -8.31205725038789 Dn
ANXA9 -7.74754449314189 Dn
MMP7 27.5016529583224 Up
ST8SIA4 24.4049829860396 Up
PLA2G4A 23.8651227844222 Up
METTL7A 22.851874364447 Up
PDE3A 22.7512602465198 Up
SERPINB3 21.9651694157982 Up
SULF2 21.8545701272072 Up
GAREM1 21.8419422859491 Up
CYP1B1 21.8347565994548 Up
CASP14 21.7713860883206 Up
TNFAIP6 21.2940757575206 Up
ANGPT1 21.2190036633371 Up
MAPK4 21.0410602278266 Up
OMD 20.3780526596479 Up
CHRNA9 19.4513149373161 Up
BGN 19.1927124094848 Up
SNAI1 19.1917459983077 Up
FOXO1 19.0541490644529 Up
IL33 18.7620228234575 Up
FOXI1 18.3130983826637 Up
TCP11L2 17.7825240340175 Up
PLXDC2 17.3957728504741 Up
ITGA1 17.1666941585791 Up
VCAN 17.1615219367455 Up
KLF9 16.4216961312971 Up
IRX3 16.1446553148039 Up
KRT10 15.7546341116237 Up
PDCD4 15.7481905043937 Up
RORB 15.6883815296892 Up
PDE7B 15.3644415273585 Up
ABCA1 15.2392740675405 Up
TREM1 15.0770805613276 Up
MAP2K6 15.046141323385 Up
NUPR1 14.4304677294302 Up
RNA5SP99 14.3051073124556 Up
APCDD1L 14.0194224686447 Up
TSPAN18 13.9938303467896 Up
RNA5SP399 13.8862506152013 Up
C5AR2 13.8170428330279 Up
STOM 13.4729808489738 Up
PID1 13.2127891207174 Up
SMOC1 12.9624060003048 Up
ATP6V0D2 12.8804624128538 Up
NOV 12.8530403891659 Up
PTGS2 12.4304371548181 Up
PRSS12 12.3822214293541 Up
SCARA5 12.1997320877566 Up
LTBP1 11.9149928976634 Up
SYCE2 11.5438215125196 Up
FBN1 11.2590166622258 Up
MEFV 10.7858200938436 Up
SDC2 10.6789610944774 Up
PCSK1 10.6586532577247 Up
DIXDC1 10.2366451360476 Up
TTLL1 10.1307609231542 Up
SLC1A1 9.91922229744178 Up
CRISPLD1 8.35094960535723 Up
SULT1E1 8.33685113975628 Up
LINC00589 8.29996565056636 Up
ALDH1L2 8.1684107215121 Up
UNC5B-AS1 8.07801816950841 Up
FDCSP 7.94567628192407 Up
