signature_symbol signature_score signature_direction
STARD4 -24.1499380010182 dn
INSIG1 -27.8135274467281 dn
SCD -28.1316582898817 dn
FAM83D -26.7521679065632 dn
KIF20A -34.4352340575545 dn
PLK1 -25.2517565156092 dn
CLCA2 -28.5150126916112 dn
IDI1 -18.9522820085806 dn
CAT -17.3868596849486 dn
HMGCR -19.7262074459185 dn
TOP2A -21.4935555102705 dn
DHCR24 -22.3405943986857 dn
DHCR7 -19.3465419879005 dn
FAT2 -19.4318468505358 dn
HMMR -21.2606476660042 dn
TPX2 -20.3639392315436 dn
CIT -17.197903441643 dn
ALDH3A2 -15.1307466077877 dn
DLGAP5 -21.037968121547 dn
DEPDC1B -18.2177950398348 dn
CCNA2 -20.4322557665784 dn
NEK2 -20.4849600716508 dn
TGM2 -11.9961414112554 dn
TMEM71 -19.7945590074023 dn
FGFBP1 -23.2510472388699 dn
HJURP -20.8844357055244 dn
SQLE -15.6968434207669 dn
CENPF -20.5044324646191 dn
ASPM -17.5154849732793 dn
KIF14 -16.0413968654973 dn
RAPGEFL1 -15.5852310590342 dn
PTGS1 -13.9969432863647 dn
GTSE1 -22.1699626662109 dn
MKI67 -20.9215341424859 dn
PHF15 -19.0974421501092 dn
ARHGAP11A -17.2038849918547 dn
PRR11 -17.2112809958887 dn
CDCA2 -17.050918179614 dn
PRC1 -18.0919767014141 dn
GAS2L3 -16.412488365548 dn
KIF11 -16.8260952611235 dn
ANKRD22 -18.5731250032834 dn
CNTN1 -20.8828305013479 dn
DEPDC1 -13.7366881774368 dn
TIMP3 -8.35463657678765 dn
ANLN -14.1068347088146 dn
LOC100288637 -14.4062096540747 dn
POLQ -15.1010306837551 dn
CKAP2L -15.1978886711871 dn
TNFSF10 -17.8115110884163 dn
KIF2C -17.8398984783862 dn
SREBF2 -13.1207676387792 dn
ESPL1 -14.1734811048369 dn
NUF2 -19.057000667136 dn
MMAB -12.492116066872 dn
CENPI -12.7770758388746 dn
BUB1B -15.1949159442272 dn
MSMO1 -14.7820421183744 dn
FDFT1 -14.1028047241642 dn
KLK9 -11.921627725804 dn
STOX2 -9.73177313693997 dn
ARL6IP1 -12.5507754445199 dn
CENPA -14.3618768770103 dn
HIST1H1A -20.367389266923 dn
GPSM2 -13.9643057633284 dn
OLFML3 -14.2746783176048 dn
CENPE -15.4440384173086 dn
RASSF10 -11.9368487222796 dn
LMNB1 -15.5066984707011 dn
AQP3 -12.9010650638546 dn
TMEM154 -19.6495282664949 dn
DNM3 -15.0781640903633 dn
CKAP2 -12.1102201704565 dn
INCENP -16.0611405541488 dn
CDKN3 -13.4675208081015 dn
NUSAP1 -13.4242028583834 dn
TICRR -16.2537798847634 dn
KIF20B -13.3795987328549 dn
AURKA -19.0998899266086 dn
NCAPH -15.316831772342 dn
IQGAP3 -12.3259305426214 dn
NCAPD2 -17.208287252141 dn
HMGCS1 -10.8902505315106 dn
TTK -12.4848787004171 dn
KIF4A -14.9551818805607 dn
CDK1 -13.6248749681604 dn
RHOB -8.21645131184178 dn
MPZL2 -12.7753623538811 dn
ECM1 -10.8401119174584 dn
TRIP13 -13.3273873005152 dn
FANCD2 -12.6417171685881 dn
PTRHD1 -14.6253826781877 dn
LPIN1 -13.0913702182207 dn
NCAPG -14.6277494460862 dn
BUB1 -16.5358981200096 dn
ESCO2 -16.2889833594914 dn
GBP6 -10.4279589281159 dn
CCNB1 -14.249428832722 dn
ST3GAL5 -10.7908871138193 dn
CCNB2 -13.7772720305591 dn
ACAT2 -11.7983515903391 dn
CRABP2 -14.3773358887779 dn
E2F8 -15.851203200154 dn
HSPA2 -10.1473460882267 dn
SKP2 -15.5427234073104 dn
ARHGAP11B -13.0034178520805 dn
MIR5047 -17.2641684996826 dn
KIF18B -14.6099622194706 dn
SGOL2 -12.2567062590691 dn
CDCA8 -18.4386995614038 dn
ITGB8 -12.3688350556445 dn
CDC25C -13.1189875981435 dn
CASC5 -10.2502432894554 dn
BIRC5 -18.1720434372157 dn
ALDH7A1 -15.9112655937966 dn
SHCBP1 -10.9004784729913 dn
CDCA3 -14.7661077652018 dn
RGCC -8.43263616856942 dn
KIF18A -14.283390378148 dn
NEIL3 -14.8026342247128 dn
NDC80 -13.4637685642384 dn
SPC24 -16.7662317102874 dn
ZFP36 -13.6217453093324 dn
DUSP1 -13.2931890149261 dn
FANCI -10.9306866733282 dn
RACGAP1 -12.5300722910876 dn
PBK -13.8095629595521 dn
HMGB2 -12.7122434532372 dn
CEP55 -13.5291000421612 dn
SEC14L2 -17.5072436461719 dn
MICALCL -9.55223790730585 dn
SRSF1 -11.5320897220776 dn
SPC25 -14.2876570620825 dn
C10orf10 -13.0129847487661 dn
LANCL1 -11.2767348325507 dn
BCHE -7.57402106394872 dn
IFI44 -12.4134285986691 dn
LAPTM5 -7.73389673754671 dn
KLK5 -13.7807395373319 dn
CTSE -9.65844611813102 dn
FGF5 -5.83024603218734 dn
C1orf21 -13.9558065497867 dn
EGLN3 -13.02381785839 dn
NEDD9 -6.68590929513618 dn
PLK4 -10.7398873946485 dn
BLVRA -11.46688383123 dn
LOC100506431 -6.35609883632179 dn
MVK -14.5187246947711 dn
KRT15 -19.9091495695049 dn
MIR3064 -12.2322708041451 dn
NRGN -8.37811527621039 dn
MAPKBP1 -14.2243944093454 dn
HIST1H2BM -10.7833485758444 dn
FAM213A -12.2120446231857 dn
TNF -14.1520014474401 dn
CCDC34 -17.0002459281129 dn
MTBP -10.1101558145155 dn
FDPS -10.8640966882744 dn
CTSL2 -20.2394373996729 dn
SNX5 -10.3999438750113 dn
AURKB -11.120734178735 dn
HIST1H2AB -14.9110118033402 dn
C15orf23 -12.5949059237908 dn
BHLHE40 -10.7052369230911 dn
UBE2C -9.69309469912003 dn
ARHGAP25 -6.71297945853414 dn
CXCR7 -11.3252454516637 dn
KCTD3 -13.074085064497 dn
CCNF -10.3993739478178 dn
ERCC6L -10.3137411977874 dn
CENPW -10.3490889077709 dn
SERPINB7 -12.0348036248414 dn
SMTN -11.2615597507023 dn
NCAPG2 -12.5978929240871 dn
SNORD111 -6.18304128113926 dn
CCDC18 -6.55387572907663 dn
CDC45 -14.4678643284251 dn
BORA -11.5509770244189 dn
FOS -9.75047126200759 dn
NMU -6.22069423840468 dn
MAD2L1 -9.92216536337043 dn
ODZ2 -9.36863858079132 dn
SEMA3F -8.64214488539048 dn
PARPBP -13.5415551327469 dn
TMPRSS4 -14.964636270674 dn
VGLL1 -17.8146406704634 dn
CEL -10.3396750522745 dn
NRN1 -6.95243709125201 dn
HIST1H3B -13.0000713258952 dn
LOC100133190 -15.3793594327623 dn
RPS14 -12.9596190457697 dn
TET1 -8.05511185521901 dn
PADI3 -16.8975400585792 dn
NHSL2 -11.4051527132103 dn
SPAG5 -16.8212424296012 dn
MND1 -7.91539562554867 dn
INO80C -6.59737566976977 dn
CELSR2 -12.8598237198582 dn
SCARA3 -9.0074109234428 dn
UBE2T -11.2472887655588 dn
TACC3 -13.1268415895383 dn
PSRC1 -11.134666861735 dn
SERPINE1 -9.38998298175637 dn
ARHGEF39 -12.6754248190489 dn
HIST1H3G -11.771748867668 dn
ANAPC15 -12.4914298305707 dn
VRK1 -10.202753248137 dn
RASGEF1B -13.1230405118091 dn
HFE -10.0029264153639 dn
MGC16121 -10.8052708619217 dn
HIST1H3I -9.1792204289686 dn
MPP1 -12.0802769382907 dn
PRAMEF3 -8.95062760026206 dn
